DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1295.9144,4834.3213,4834321.0,nan,9.1419,9.1419,1.0697,137.8066,nan,nan,61.3278,0.9144,0.9398,1295.9144,0.5643,-587.3891,nan,nan,0.0306,0.0306,15860.6338,2.1857,1.0697,1.1443,283.6404,1.0,1.0,-1217.4244,66.37,0.0306,nan
1296.0668,4751.9272,4751927.0,nan,9.2247,9.2247,1.2028,139.5873,0.0,nan,61.9954,0.965,0.9785,1296.0668,0.5611,-587.4626,nan,nan,0.0302,0.0302,15590.3115,2.1762,1.2028,1.4467,283.5604,1.0,1.0,-1217.5768,66.744,0.0302,nan
1296.2192,4777.4341,4777434.5,nan,9.268,9.268,1.2145,140.0185,0.0,nan,63.5188,0.8993,0.9119,1296.2192,0.563,-587.5362,nan,nan,0.0295,0.0295,15673.9971,2.1946,1.2145,1.475,283.5041,1.0,1.0,-1217.7291,67.52,0.0295,nan
1296.3716,4810.3301,4810330.0,nan,9.2766,9.2766,1.0487,139.3474,0.0,nan,64.9925,0.825,0.8443,1296.3716,0.5677,-587.6097,nan,nan,0.0287,0.0287,15781.9229,2.1992,1.0487,1.0998,283.9129,1.0,1.0,-1217.8816,68.431,0.0287,nan
1296.524,4827.2563,4827256.5,nan,9.2866,9.2866,0.9479,138.8638,0.0,nan,65.6985,0.8143,0.8354,1296.5239,0.5743,-587.6832,nan,nan,0.0276,0.0276,15837.4551,2.1992,0.9479,0.8984,284.0639,1.0,1.0,-1218.0339,69.65,0.0276,nan
1296.6764,4823.1411,4823141.0,nan,9.3008,9.3008,0.9471,139.0847,0.0,nan,65.1353,0.8262,0.8443,1296.6764,0.5844,-587.7568,nan,nan,0.0261,0.0261,15823.9531,2.2009,0.9471,0.8971,283.8429,1.0,1.0,-1218.1864,71.28,0.0261,nan
1296.8288,4820.8628,4820863.0,nan,9.2951,9.2951,0.9822,139.2288,0.0,nan,63.4583,0.836,0.8556,1296.8287,0.5984,-587.8303,nan,nan,0.0243,0.0243,15816.4795,2.2021,0.9822,0.9647,283.8681,1.0,1.0,-1218.3387,73.245,0.0243,nan
1296.9812,4853.9077,4853907.5,nan,9.2564,9.2564,1.0116,138.7143,0.0,nan,61.7829,0.8425,0.8626,1296.9812,0.6146,-587.9038,nan,nan,0.0225,0.0225,15924.8936,2.209,1.0116,1.0234,283.6264,1.0,1.0,-1218.4912,75.273,0.0225,nan
1297.1336,4923.1733,4923173.0,nan,9.1901,9.1901,1.0237,137.7427,0.0,nan,60.9213,0.8396,0.8536,1297.1335,0.6306,-587.9774,nan,nan,0.0214,0.0214,16152.1436,2.2248,1.0237,1.048,283.2007,1.0,1.0,-1218.6436,76.448,0.0214,nan
1297.286,5010.9248,5010924.5,nan,9.1392,9.1392,1.0042,136.4887,0.0,nan,60.5683,0.822,0.8341,1297.286,0.6386,-588.0509,nan,nan,0.0219,0.0219,16440.041,2.2439,1.0042,1.0084,283.1617,1.0,1.0,-1218.796,75.912,0.0219,nan
