DEPTH,ACOUSTICIMPEDANCE1,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,NPHI,PERF_INT,PIGN,PIGN_MODELLING,RHOB,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,ZLT
998.5724,4397.583,nan,8.0912,8.0912,1.6024,145.9568,nan,nan,58.6026,1.729,1.7118,0.635,nan,nan,nan,2.1058,269.1632,nan,nan,-919.9524,nan,nan
998.7248,4415.0493,nan,8.0673,8.0673,1.7137,145.6762,nan,nan,58.4966,1.8492,1.8436,0.646,nan,nan,nan,2.1101,269.4328,nan,nan,-920.1048,nan,nan
998.8772,4388.4624,nan,8.0408,8.0408,1.9275,146.6504,nan,nan,59.4589,1.8718,1.8829,0.6458,nan,nan,nan,2.1114,269.6759,nan,nan,-920.2572,nan,nan
999.0296,4338.9722,nan,8.053,8.053,1.9289,148.5037,nan,nan,60.1992,1.7917,1.7911,0.6462,nan,nan,nan,2.114,269.7225,nan,nan,-920.4096,nan,nan
999.182,4284.332,nan,8.1254,8.1254,1.802,150.6181,nan,nan,61.1269,1.723,1.7051,0.6493,nan,nan,nan,2.1171,269.8082,nan,nan,-920.562,nan,nan
999.3344,4234.5776,nan,8.2639,8.2639,1.7218,152.9702,nan,nan,63.3943,1.6598,1.6486,0.6471,nan,nan,nan,2.1252,269.8013,nan,nan,-920.7144,nan,nan
999.4868,4183.6816,nan,8.4141,8.4141,1.655,155.3185,nan,nan,65.2262,1.594,1.5867,0.6385,nan,nan,nan,2.1319,269.4475,nan,nan,-920.8668,nan,nan
999.6392,4146.0298,nan,8.5127,8.5127,1.5617,156.8878,nan,nan,66.3195,1.5442,1.5337,0.6285,nan,nan,nan,2.1341,268.9449,nan,nan,-921.0192,nan,nan
999.7916,4153.103,nan,8.5467,8.5467,1.4539,156.8672,nan,nan,68.3635,1.4919,1.4842,0.6219,nan,nan,nan,2.1374,268.5175,nan,nan,-921.1716,nan,nan
999.944,4216.4937,nan,8.5492,8.5492,1.3248,155.1638,nan,nan,70.7385,1.4404,1.4308,0.6284,nan,nan,nan,2.1465,268.0116,nan,nan,-921.324,nan,nan
1000.0964,4309.312,nan,8.5093,8.5093,1.2699,152.7964,nan,nan,71.9296,1.4467,1.4396,0.6504,nan,nan,nan,2.1603,267.3735,nan,nan,-921.4764,nan,nan
1000.2488,4391.0552,nan,8.4295,8.4295,1.3506,150.6204,nan,nan,71.8903,1.5699,1.5874,0.681,nan,0.012,0.012,2.1699,266.9612,nan,nan,-921.6288,nan,nan
1000.4012,4441.0474,nan,8.355,8.355,1.6768,148.8247,nan,nan,70.7739,1.7976,1.8007,0.7042,nan,0.0101,0.0101,2.1684,267.0225,nan,nan,-921.7812,nan,nan
1000.5536,4454.0967,nan,8.2877,8.2877,1.974,147.4395,nan,nan,68.5364,1.9334,1.9072,0.715,nan,0.0121,0.0121,2.1546,267.1217,1.0,1.0,-921.9336,87.995,nan
1000.706,4438.3657,nan,8.2127,8.2127,2.0753,146.5921,nan,nan,66.2057,1.9243,1.9093,0.7103,nan,0.017,0.017,2.1346,266.9302,1.0,1.0,-922.086,85.763,nan
1000.8584,4411.4043,nan,8.1566,8.1566,2.0229,146.6091,nan,nan,64.9421,1.8943,1.8832,0.6871,nan,0.0222,0.0222,2.1219,266.8098,1.0,1.0,-922.2384,82.749,nan
1001.0108,4364.2065,nan,8.1599,8.1599,1.9358,147.8441,nan,nan,64.0179,1.8516,1.8378,0.658,nan,0.0257,0.0257,2.1169,267.08,1.0,1.0,-922.3908,80.277,nan
1001.1632,4292.5615,nan,8.215,8.215,1.8552,149.7308,nan,nan,62.7569,1.7783,1.7639,0.6342,nan,0.0273,0.0273,2.1087,267.3016,1.0,1.0,-922.5432,79.034,nan
1001.3156,4236.6343,nan,8.3453,8.3453,1.7398,151.2484,nan,nan,61.4775,1.7059,1.6951,0.6211,nan,0.0279,0.0279,2.1023,266.937,1.0,1.0,-922.6956,78.624,nan
1001.468,4212.501,nan,8.5152,8.5152,1.6665,151.9543,nan,nan,60.0774,1.6801,1.6739,0.6112,nan,0.0284,0.0284,2.1001,266.247,1.0,1.0,-922.848,78.188,nan
1001.6204,4218.5957,nan,8.671,8.671,1.6734,151.5902,nan,nan,59.3537,1.7252,1.7146,0.6014,nan,0.0296,0.0296,2.0981,265.678,1.0,1.0,-923.0004,77.34,nan
1001.7728,4239.1826,nan,8.7564,8.7564,1.7304,150.3594,nan,nan,59.9745,1.8045,1.7823,0.5975,nan,0.0311,0.0311,2.0912,265.2873,1.0,1.0,-923.1528,76.168,nan
1001.9252,4263.6475,nan,8.7776,8.7776,1.8068,148.5201,nan,nan,61.3727,1.854,1.8357,0.6025,nan,0.0322,0.0322,2.0775,265.1151,1.0,1.0,-923.3052,75.351,nan
1002.0776,4298.2139,nan,8.7721,8.7721,1.8571,146.5024,nan,nan,63.4752,1.867,1.8658,0.6116,nan,0.0322,0.0322,2.0659,265.3319,1.0,1.0,-923.4576,75.352,nan
1002.23,4318.8984,nan,8.7993,8.7993,1.8786,144.7887,nan,nan,66.3091,1.8755,1.8822,0.6176,nan,0.032,0.032,2.0516,265.8337,1.0,1.0,-923.61,75.455,nan
1002.3824,4329.3003,nan,8.8592,8.8592,1.8883,143.6361,nan,nan,68.7814,1.8859,1.8984,0.6148,nan,0.0327,0.0327,2.0402,266.1928,1.0,1.0,-923.7624,74.921,nan
1002.5348,4338.3184,nan,8.9383,8.9383,1.8819,143.1345,nan,nan,71.3458,1.8804,1.8916,0.6026,nan,0.0339,0.0339,2.0373,266.3189,1.0,1.0,-923.9148,73.993,nan
1002.6872,4344.1372,nan,8.9925,8.9925,1.8622,143.149,nan,nan,74.1426,1.8401,1.8398,0.5859,nan,0.034,0.034,2.0402,266.5006,1.0,1.0,-924.0672,73.932,nan
1002.8396,4367.0083,nan,8.9345,8.9345,1.8231,143.4784,nan,nan,75.026,1.7879,1.7847,0.5703,nan,0.0333,0.0333,2.0557,266.7607,1.0,1.0,-924.2196,74.5,nan
1002.992,4405.5088,nan,8.7584,8.7584,1.7925,143.8469,nan,nan,73.0513,1.7651,1.7737,0.5619,nan,0.0336,0.0336,2.0791,266.8873,1.0,1.0,-924.372,74.209,nan
1003.1444,4439.9067,nan,8.4645,8.4645,1.7542,144.1192,nan,nan,69.1182,1.7565,1.7755,0.557,nan,0.035,0.035,2.0993,267.0641,1.0,1.0,-924.5244,73.143,nan
1003.2968,4466.5518,nan,8.1519,8.1519,1.7356,144.4004,nan,nan,64.4543,1.7372,1.7564,0.5577,nan,0.0364,0.0364,2.1161,267.6618,1.0,1.0,-924.6768,72.069,nan
1003.4492,4458.7344,nan,7.9228,7.9228,1.7424,144.9818,nan,nan,59.9562,1.7313,1.7519,0.5629,nan,0.0371,0.0371,2.1209,268.5066,1.0,1.0,-924.8292,71.531,nan
1003.6016,4406.0723,nan,7.7817,7.7817,1.7518,146.1833,nan,nan,56.2634,1.7454,1.7584,0.5703,nan,0.0364,0.0364,2.1132,269.2866,1.0,1.0,-924.9816,72.089,nan
1003.754,4323.812,nan,7.6049,7.6049,1.7441,147.9141,nan,nan,54.1883,1.7388,1.741,0.5761,nan,0.0341,0.0341,2.0983,270.1526,1.0,1.0,-925.134,73.85,nan
1003.9064,4254.353,nan,7.5096,7.5096,1.7166,149.5373,nan,nan,53.9579,1.7043,1.7053,0.5838,nan,0.0316,0.0316,2.0872,271.2588,1.0,1.0,-925.2864,75.735,nan
1004.0588,4250.562,nan,7.6261,7.6261,1.6504,150.547,nan,nan,54.2436,1.6697,1.6728,0.5948,nan,0.0306,0.0306,2.0994,272.2456,1.0,1.0,-925.4388,76.516,nan
1004.2112,4287.0952,nan,7.8891,7.8891,1.5977,150.9491,nan,nan,54.2649,1.6293,1.6351,0.6133,nan,0.0292,0.0292,2.1231,272.7498,1.0,1.0,-925.5912,77.53,nan
1004.3636,4318.3926,nan,8.2188,8.2188,1.5397,151.1446,nan,nan,54.6405,1.5799,1.5833,0.6419,nan,0.0234,0.0234,2.1414,273.0805,1.0,1.0,-925.7436,81.189,nan
1004.516,4336.4272,nan,8.5894,8.5894,1.503,151.4698,nan,nan,55.2645,1.5568,1.5293,0.6885,nan,0.0126,0.0126,2.155,273.5877,1.0,1.0,-925.896,87.715,nan
1004.6684,4336.3457,nan,8.9224,8.9224,1.4804,151.9942,nan,nan,54.8216,1.5384,1.4901,0.7445,nan,0.0032,0.0032,2.1624,273.9649,1.0,1.0,-926.0484,93.903,nan
1004.8208,4316.8652,nan,9.0987,9.0987,1.4565,152.4415,nan,nan,52.7745,1.4763,1.4726,0.7859,nan,0.0001,0.0001,2.159,273.976,1.0,1.0,-926.2008,96.793,nan
1004.9732,4291.8608,nan,9.1763,9.1763,1.4429,152.7153,nan,nan,50.0051,1.4154,1.456,0.7942,nan,0.0001,0.0001,2.1504,274.0154,1.0,1.0,-926.3532,97.375,nan
1005.1256,4271.8652,nan,9.2398,9.2398,1.4282,152.793,nan,nan,47.9817,1.3899,1.4267,0.7718,nan,0.0007,0.0007,2.1414,274.3373,1.0,1.0,-926.5056,96.706,nan
1005.278,4264.5103,nan,9.2521,9.2521,1.4076,152.539,nan,nan,47.9993,1.3805,1.3943,0.7352,nan,0.0045,0.0045,2.1342,274.7216,1.0,1.0,-926.658,93.91,nan
1005.4304,4271.9565,nan,9.2596,9.2596,1.3929,151.8992,nan,nan,48.979,1.3774,1.3686,0.6945,nan,0.0127,0.0127,2.129,275.0516,1.0,1.0,-926.8104,88.751,nan
1005.5828,4279.811,nan,9.3573,9.3573,1.3606,151.2231,nan,nan,49.2081,1.3602,1.3491,0.6595,nan,0.0206,0.0206,2.1234,275.5162,1.0,1.0,-926.9628,83.878,nan
1005.7352,4277.0029,nan,9.472,9.472,1.3283,150.8143,nan,nan,49.0446,1.3253,1.3353,0.6457,nan,0.0234,0.0234,2.1163,276.0757,1.0,1.0,-927.1152,82.092,nan
1005.8876,4279.5366,nan,9.4358,9.4358,1.2976,150.5911,nan,nan,48.3737,1.3047,1.3207,0.6579,nan,0.0221,0.0221,2.1144,276.3694,1.0,1.0,-927.2676,83.066,nan
