DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1260.0,4159.4756,nan,nan,10.7047,10.7047,154.7553,nan,nan,53.9894,1.1022,1.0741,1.262,1260.0,0.5974,nan,nan,nan,nan,nan,2.1119,1.1022,1.2148,13.8125,nan,nan,-1188.41,nan,nan,nan
1260.043,4172.7578,4172757.75,nan,10.7035,10.7035,154.4717,nan,nan,53.5188,1.0897,1.0646,1.2615,1260.043,0.5965,nan,nan,nan,nan,13690.1494,2.1147,1.0897,1.1878,14.0199,nan,nan,-1188.453,nan,nan,nan
1260.1524,4228.29,4232014.5,nan,10.7005,10.7005,152.9677,0.0,nan,52.3218,1.0579,1.0404,1.2601,1260.1523,0.5943,nan,nan,0.0126,0.0126,13884.5615,2.122,1.0579,1.1191,14.5474,1.0,1.0,-1188.5624,86.154,0.0126,nan
1260.1954,4255.3057,4255305.5,nan,10.7044,10.7044,152.3765,0.0,nan,51.9737,1.0527,1.036,1.2597,1260.1953,0.5921,nan,nan,0.013,0.013,13960.9756,2.1273,1.0527,1.1083,14.6703,1.0,1.0,-1188.6053,85.6978,0.013,nan
1260.3048,4351.8965,4357527.0,nan,10.7143,10.7143,149.9397,0.0,nan,51.0883,1.0396,1.025,1.2586,1260.3048,0.5864,nan,nan,0.0141,0.0141,14296.3486,2.1408,1.0396,1.0808,14.983,1.0,1.0,-1188.7148,84.537,0.0141,nan
1260.3478,4397.7056,4397705.5,nan,10.7015,10.7015,148.9819,0.0,nan,51.0511,1.0403,1.0268,1.257,1260.3478,0.5854,nan,nan,0.0144,0.0144,14428.168,2.1495,1.0403,1.0821,15.0282,1.0,1.0,-1188.7578,84.1335,0.0144,nan
1260.4572,4554.3652,4561405.5,nan,10.6687,10.6687,145.3413,0.0,nan,50.9565,1.0419,1.0316,1.253,1260.4572,0.5828,nan,nan,0.0154,0.0154,14965.2412,2.1717,1.0419,1.0855,15.1431,1.0,1.0,-1188.8672,83.107,0.0154,nan
1260.5002,4625.7485,4625748.5,nan,10.6228,10.6228,143.9103,0.0,nan,50.9391,1.0456,1.0402,1.2634,1260.5001,0.5856,nan,nan,0.0154,0.0154,15176.3398,2.184,1.0456,1.0933,15.1482,1.0,1.0,-1188.9102,83.0596,0.0154,nan
1260.6096,4821.813,4825441.0,nan,10.5058,10.5058,140.0402,0.0,nan,50.8949,1.055,1.0618,1.2897,1260.6096,0.5926,nan,nan,0.0155,0.0155,15831.499,2.2154,1.055,1.113,15.1611,1.0,1.0,-1189.0195,82.939,0.0155,nan
1260.6526,4903.9312,4903931.0,nan,10.4517,10.4517,138.5191,0.0,nan,50.7039,1.0586,1.0748,1.3191,1260.6526,0.5983,nan,nan,0.0152,0.0152,16089.0117,2.2286,1.0586,1.1207,15.1477,1.0,1.0,-1189.0625,83.2508,0.0152,nan
