DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PHIT,PIGE,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1260.0,4561.7271,nan,nan,9.7801,9.7801,147.2649,0.0,nan,41.6874,0.6806,0.7141,0.9613,1260.0,0.5789,-570.4421,nan,nan,0.2955,0.0582,0.0582,0.0582,nan,2.204,0.6806,0.6806,0.4632,35.4385,1.0,1.0,1.0,-1182.2999,77.538,0.0582,nan
1260.0436,4536.5659,4536566.0,nan,9.7873,9.7873,147.678,0.0,nan,41.722,0.6798,0.714,0.9614,1260.0436,0.5805,-570.4631,nan,nan,0.2952,0.0582,0.0582,0.0582,14883.7471,2.198,0.6798,0.6798,0.4621,35.4583,1.0,1.0,1.0,-1182.3435,77.5357,0.0582,nan
1260.1524,4477.6567,4480485.5,nan,9.8051,9.8051,148.6004,0.0,nan,41.8082,0.6779,0.7136,0.9617,1260.1523,0.5844,-570.5156,nan,nan,0.2947,0.0582,0.0582,0.0582,14699.7559,2.183,0.6779,0.6779,0.4595,35.5075,1.0,1.0,1.0,-1182.4524,77.53,0.0582,nan
1260.196,4458.0117,4458012.0,nan,9.8186,9.8186,148.97,0.0,nan,42.0377,0.6756,0.7118,0.9587,1260.1959,0.5872,-570.5367,nan,nan,0.2949,0.057,0.057,0.057,14626.0234,2.1788,0.6756,0.6756,0.4564,35.5225,1.0,1.0,1.0,-1182.496,78.0098,0.057,nan
1260.3048,4430.1333,4437777.5,nan,9.8521,9.8521,149.1913,0.0,nan,42.6104,0.6699,0.7073,0.9513,1260.3048,0.5941,-570.5892,nan,nan,0.2955,0.0539,0.0539,0.0539,14559.6377,2.1684,0.6698,0.6699,0.4487,35.56,1.0,1.0,1.0,-1182.6047,79.207,0.0539,nan
1260.3484,4429.6689,4429668.5,nan,9.8406,9.8406,149.28,0.0,nan,42.9735,0.6662,0.7032,0.9495,1260.3484,0.5945,-570.6102,nan,nan,0.2955,0.0535,0.0535,0.0535,14533.0342,2.1695,0.6662,0.6662,0.4438,35.5677,1.0,1.0,1.0,-1182.6483,79.3824,0.0535,nan
1260.4572,4453.6494,4464113.5,nan,9.8119,9.8119,148.6575,0.0,nan,43.8796,0.657,0.6929,0.9449,1260.4572,0.5956,-570.6627,nan,nan,0.2957,0.0523,0.0523,0.0523,14646.042,2.1721,0.657,0.657,0.4317,35.5868,1.0,1.0,1.0,-1182.7572,79.82,0.0523,nan
1260.5008,4477.917,4477917.0,nan,9.7798,9.7798,148.408,0.0,nan,44.3448,0.6532,0.6864,0.9418,1260.5007,0.5928,-570.6837,nan,nan,0.2963,0.0518,0.0518,0.0518,14691.3281,2.1803,0.6532,0.6532,0.4267,35.5867,1.0,1.0,1.0,-1182.8008,80.0111,0.0518,nan
1260.6096,4558.4741,4567059.0,nan,9.6998,9.6998,147.1487,0.0,nan,45.5057,0.6437,0.6702,0.934,1260.6096,0.5857,-570.7362,nan,nan,0.2978,0.0506,0.0506,0.0506,14983.79,2.2007,0.6437,0.6437,0.4144,35.5863,1.0,1.0,1.0,-1182.9095,80.488,0.0506,nan
1260.6532,4602.7817,4602781.5,nan,9.672,9.672,146.644,0.0,nan,45.8189,0.6422,0.6638,0.928,1260.6532,0.5818,-570.7573,nan,nan,0.3,0.0477,0.0477,0.0477,15100.9893,2.2145,0.6422,0.6422,0.4125,35.576,1.0,1.0,1.0,-1182.9531,81.6095,0.0477,nan
1260.762,4729.1562,4730315.0,nan,9.6026,9.6026,144.9399,0.0,nan,46.6004,0.6386,0.648,0.9129,1260.762,0.572,-570.8098,nan,nan,0.3056,0.0404,0.0404,0.0404,15519.4072,2.2488,0.6386,0.6386,0.4078,35.5504,1.0,1.0,1.0,-1183.062,84.408,0.0404,nan
1260.8056,4781.4224,4781422.5,nan,9.5807,9.5807,144.257,0.0,nan,46.3496,0.6404,0.6445,0.9097,1260.8055,0.5686,-570.8308,nan,nan,0.3077,0.0382,0.0382,0.0382,15687.082,2.263,0.6405,0.6404,0.4102,35.5192,1.0,1.0,1.0,-1183.1056,85.2837,0.0382,nan
