DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1250.0,4757.4897,nan,nan,9.0971,9.0971,0.3031,0.8548,140.5645,nan,nan,64.139,0.7114,0.71,1250.0,0.6026,5.1644,nan,nan,nan,nan,nan,2.194,nan,nan,nan,-197.9458,nan,nan,nan,-1162.63,nan,nan,nan
1250.024,4755.4829,4755483.0,nan,9.0974,9.0974,0.2898,0.8722,140.5775,nan,nan,64.2345,0.7172,0.7151,1250.0239,0.604,5.1601,nan,nan,nan,nan,15601.9785,2.1933,nan,nan,nan,-197.9485,nan,nan,nan,-1162.6539,nan,nan,nan
1250.1524,4729.6709,4729760.0,nan,9.099,9.099,0.3624,0.9653,141.0955,nan,nan,64.7452,0.7487,0.7424,1250.1523,0.6115,5.1576,nan,nan,nan,nan,15517.585,2.1894,nan,nan,nan,-197.9484,nan,nan,nan,-1162.7823,nan,nan,nan
1250.1764,4724.9521,4724952.0,nan,9.1122,9.1122,0.376,0.9717,141.1923,nan,nan,64.8554,0.7519,0.746,1250.1764,0.6101,5.1571,nan,nan,nan,nan,15501.8105,2.1887,nan,nan,nan,-197.9484,nan,nan,nan,-1162.8064,nan,nan,nan
1250.3048,4697.9175,4698644.5,nan,9.1832,9.1832,0.3613,1.006,141.7676,nan,nan,65.4449,0.7695,0.7649,1250.3048,0.6025,5.1871,nan,nan,0.0304,0.0304,15415.501,2.1851,0.7828,0.7828,0.6128,-197.9487,1.0,1.0,1.0,-1162.9348,81.78,0.0304,nan
1250.3288,4693.7275,4693727.5,nan,9.1997,9.1997,0.3585,0.9989,141.8751,nan,nan,65.3817,0.772,0.7682,1250.3287,0.6,5.1927,nan,nan,0.0311,0.0311,15399.3682,2.1848,0.788,0.788,0.621,-197.9487,1.0,1.0,1.0,-1162.9587,81.3443,0.0311,nan
1250.4572,4695.2124,4694959.0,nan,9.2876,9.2876,0.3122,0.9614,141.7285,nan,nan,65.0439,0.7854,0.7857,1250.4572,0.5864,5.2602,nan,nan,0.035,0.035,15403.4092,2.1832,0.8156,0.8156,0.6651,-197.9523,1.0,1.0,1.0,-1163.0872,79.013,0.035,nan
1250.4812,4695.1895,4695189.0,nan,9.2674,9.2674,0.3036,0.9586,141.7011,nan,nan,64.869,0.7916,0.7926,1250.4812,0.5833,5.2728,nan,nan,0.0347,0.0347,15404.1641,2.1828,0.8254,0.8254,0.6818,-197.953,1.0,1.0,1.0,-1163.1112,79.1549,0.0347,nan
1250.6096,4726.8994,4726292.0,nan,9.1597,9.1597,0.3137,0.9439,140.6011,0.0,nan,63.9337,0.8252,0.8296,1250.6096,0.5666,5.3278,nan,nan,0.0335,0.0335,15506.207,2.1805,0.8781,0.8781,0.7711,-197.9589,1.0,1.0,1.0,-1163.2396,79.914,0.0335,nan
1250.6336,4732.1055,4732105.5,nan,9.1613,9.1613,0.3156,0.9504,140.3955,0.0,nan,63.7849,0.8367,0.841,1250.6335,0.5697,5.3381,nan,nan,0.0324,0.0324,15525.2803,2.1797,0.8903,0.8903,0.7935,-197.96,1.0,1.0,1.0,-1163.2635,80.5783,0.0324,nan
