DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1210.0,4534.5205,4534520.5,nan,9.4887,9.4887,1.1073,152.4,nan,nan,66.0059,0.8788,0.8917,1210.0,0.5742,nan,nan,nan,nan,nan,14877.0352,2.2673,nan,nan,nan,85.7877,nan,nan,nan,-1143.27,nan,nan,nan
1210.1524,4418.7598,4418760.0,nan,9.4286,9.4286,1.1807,152.4,nan,nan,68.2981,0.9091,0.9195,1210.1523,0.5564,nan,nan,nan,nan,nan,14497.2441,2.2094,nan,nan,nan,85.6687,nan,nan,nan,-1143.4224,nan,nan,nan
1210.3048,4361.96,4361960.0,nan,9.3941,9.3941,1.2197,152.4,nan,nan,69.3208,0.9218,0.9366,1210.3048,0.5338,nan,nan,nan,nan,nan,14310.8926,2.181,nan,nan,nan,85.7297,nan,nan,nan,-1143.5748,nan,nan,nan
1210.4572,4348.1206,4348120.5,nan,9.3379,9.3379,1.2071,152.4,nan,nan,68.3563,0.9154,0.9354,1210.4572,0.5157,nan,nan,0.2058,0.02,0.02,14265.4873,2.1741,0.9151,0.9151,0.8374,85.6706,1.0,1.0,1.0,-1143.7272,82.858,0.02,nan
1210.6096,4343.4404,4343440.0,nan,9.2324,9.2324,1.1847,152.4,0.0,nan,67.0386,0.9046,0.926,1210.6096,0.5072,nan,nan,0.2052,0.02,0.02,14250.1318,2.1717,0.9046,0.9046,0.8183,85.5678,1.0,1.0,1.0,-1143.8795,81.741,0.02,nan
1210.762,4339.5601,4339560.0,nan,9.1217,9.1217,1.1875,152.4,0.0,nan,65.2422,0.8999,0.9199,1210.762,0.5082,nan,nan,0.2089,0.0146,0.0146,14237.4023,2.1698,0.9001,0.9001,0.8101,85.2869,1.0,1.0,1.0,-1144.032,80.694,0.0146,nan
1210.9144,4340.7202,4340720.5,nan,9.0445,9.0445,1.1982,152.4,0.0,nan,63.9213,0.9014,0.9196,1210.9144,0.5183,nan,nan,0.2123,0.0151,0.0151,14241.209,2.1704,0.9015,0.9015,0.8127,85.2268,1.0,1.0,1.0,-1144.1843,80.88,0.0151,nan
1211.0668,4339.1802,4339180.0,nan,8.9626,8.9626,1.2086,152.4,0.0,nan,63.8493,0.9014,0.9197,1211.0668,0.5391,nan,nan,0.2126,0.0159,0.0159,14236.1553,2.1696,0.9012,0.9012,0.8122,85.4038,1.0,1.0,1.0,-1144.3368,83.848,0.0159,nan
1211.2192,4325.8604,4325860.0,nan,8.8687,8.8687,1.2291,152.4,0.0,nan,63.7009,0.8965,0.9188,1211.2191,0.5682,nan,nan,0.215,0.0195,0.0195,14192.4551,2.1629,0.8964,0.8964,0.8035,85.5206,1.0,1.0,1.0,-1144.4891,87.689,0.0195,nan
1211.3716,4304.7803,4304780.0,nan,8.8581,8.8581,1.2583,152.4,0.0,nan,63.8266,0.896,0.9241,1211.3716,0.5982,nan,nan,0.217,0.0198,0.0198,14123.2949,2.1524,0.8962,0.8962,0.8031,85.2042,1.0,1.0,1.0,-1144.6416,92.079,0.0198,nan
1211.524,4284.0801,4284080.0,nan,8.9944,8.9944,1.3309,152.4,0.0,nan,65.0024,0.9035,0.934,1211.5239,0.6172,nan,nan,0.2142,0.0194,0.0194,14055.3809,2.142,0.9036,0.9036,0.8166,84.742,1.0,1.0,1.0,-1144.7939,96.541,0.0194,nan
1211.6764,4265.7803,4265780.0,nan,9.2477,9.2477,1.3983,152.4,0.0,nan,66.1015,0.9027,0.9301,1211.6764,0.6212,nan,nan,0.2131,0.02,0.02,13995.3418,2.1329,0.9023,0.9023,0.8142,84.5249,1.0,1.0,1.0,-1144.9464,98.109,0.02,nan
1211.8288,4247.4399,4247440.0,nan,9.4272,9.4272,1.4174,152.4,0.0,nan,66.6004,0.8852,0.908,1211.8287,0.613,nan,nan,0.2154,0.02,0.02,13935.1709,2.1237,0.8849,0.8849,0.783,84.5171,1.0,1.0,1.0,-1145.0988,96.871,0.02,nan
1211.9812,4244.6807,4244680.5,nan,9.4114,9.4114,1.3265,152.4,0.0,nan,66.5977,0.8696,0.8896,1211.9812,0.5993,nan,nan,0.218,0.02,0.02,13926.1172,2.1223,0.8699,0.8699,0.7567,84.5314,1.0,1.0,1.0,-1145.2512,94.724,0.02,nan
1212.1336,4267.8198,4267820.0,nan,9.2856,9.2856,1.224,152.4,0.0,nan,65.0722,0.8709,0.8888,1212.1335,0.5877,nan,nan,0.2207,0.0196,0.0196,14002.0342,2.1339,0.8713,0.8713,0.7592,84.4168,1.0,1.0,1.0,-1145.4036,91.388,0.0196,nan
1212.286,4304.2402,4304240.5,nan,9.1719,9.1719,1.1822,152.4,0.0,nan,63.2343,0.8784,0.894,1212.286,0.5822,nan,nan,0.2211,0.0258,0.0258,14121.5234,2.1521,0.8784,0.8784,0.7716,84.5196,1.0,1.0,1.0,-1145.556,88.813,0.0258,nan
1212.4384,4320.8599,4320860.0,nan,9.0905,9.0905,1.1997,152.4,0.0,nan,63.3132,0.8755,0.8911,1212.4384,0.5817,nan,nan,0.2182,0.0244,0.0244,14176.0498,2.1604,0.8752,0.8752,0.7659,84.7363,1.0,1.0,1.0,-1145.7084,89.006,0.0244,nan
1212.5908,4329.1001,4329100.5,nan,9.0271,9.0271,1.1961,152.4,0.0,nan,64.9193,0.8659,0.8863,1212.5908,0.5815,nan,nan,0.2121,0.0206,0.0206,14203.085,2.1646,0.8659,0.8659,0.7498,84.952,1.0,1.0,1.0,-1145.8607,91.22,0.0206,nan
1212.7432,4353.3799,4353380.0,nan,9.0267,9.0267,1.1792,152.4,0.0,nan,67.0431,0.8662,0.8951,1212.7432,0.5759,nan,nan,0.2068,0.02,0.02,14282.7422,2.1767,0.8666,0.8666,0.751,84.8899,1.0,1.0,1.0,-1146.0132,91.663,0.02,nan
1212.8956,4390.96,4390960.0,nan,9.2077,9.2077,1.2096,152.4,0.0,nan,68.9139,0.8783,0.9159,1212.8956,0.5651,nan,nan,0.2012,0.02,0.02,14406.0361,2.1955,0.8784,0.8784,0.7716,84.796,1.0,1.0,1.0,-1146.1655,90.432,0.02,nan
1213.048,4423.2202,4423220.5,nan,9.4592,9.4592,1.2784,152.4,0.0,nan,69.2791,0.8798,0.9211,1213.048,0.5554,nan,nan,0.1954,0.02,0.02,14511.8779,2.2116,0.8793,0.8793,0.7732,84.8557,1.0,1.0,1.0,-1146.318,89.3,0.02,nan
1213.2004,4417.3398,4417340.0,nan,9.6533,9.6533,1.3139,152.4,0.0,nan,67.6865,0.851,0.8885,1213.2003,0.5543,nan,nan,0.1955,0.02,0.02,14492.585,2.2087,0.8503,0.8503,0.7231,85.0762,1.0,1.0,1.0,-1146.4703,89.174,0.02,nan
1213.3528,4377.96,4377960.0,nan,9.7929,9.7929,1.2187,152.4,0.0,nan,66.3282,0.8078,0.8383,1213.3528,0.5645,nan,nan,0.2039,0.02,0.02,14363.3857,2.189,0.8078,0.8078,0.6525,85.3844,1.0,1.0,1.0,-1146.6228,90.076,0.02,nan
1213.5052,4327.0806,4327080.5,nan,9.9704,9.9704,1.0948,152.4,0.0,nan,66.0913,0.7833,0.8081,1213.5051,0.5802,nan,nan,0.2147,0.02,0.02,14196.458,2.1635,0.7839,0.7839,0.6144,85.3862,1.0,1.0,1.0,-1146.7751,91.691,0.02,nan
1213.6576,4283.1602,4283160.5,nan,10.0904,10.0904,1.0491,152.4,0.0,nan,65.5318,0.7876,0.8095,1213.6576,0.5912,nan,nan,0.2238,0.0164,0.0164,14052.3633,2.1416,0.7881,0.7881,0.6211,85.1792,1.0,1.0,1.0,-1146.9276,92.092,0.0164,nan
1213.81,4252.8604,4252860.0,nan,10.0988,10.0988,1.1162,152.4,0.0,nan,64.5214,0.8054,0.8285,1213.8099,0.5952,nan,nan,0.2295,0.0212,0.0212,13952.9531,2.1264,0.8055,0.8055,0.6488,84.7837,1.0,1.0,1.0,-1147.08,91.103,0.0212,nan
1213.9624,4230.04,4230040.0,nan,10.0746,10.0746,1.1864,152.4,0.0,nan,64.2003,0.8216,0.8481,1213.9624,0.6007,nan,nan,0.2321,0.0254,0.0254,13878.085,2.115,0.8214,0.8214,0.6748,84.6516,1.0,1.0,1.0,-1147.2324,91.271,0.0254,nan
1214.1148,4220.2798,4220280.0,nan,10.0858,10.0858,1.209,152.4,0.0,nan,64.5919,0.834,0.8633,1214.1147,0.6143,nan,nan,0.2305,0.0177,0.0177,13846.0625,2.1101,0.834,0.834,0.6956,84.7857,1.0,1.0,1.0,-1147.3848,94.251,0.0177,nan
1214.2672,4228.9199,4228920.0,nan,10.1503,10.1503,1.19,152.4,0.0,nan,66.4513,0.8448,0.8763,1214.2672,0.6316,nan,nan,0.2256,0.0172,0.0172,13874.4102,2.1145,0.8448,0.8448,0.7137,85.0888,1.0,1.0,1.0,-1147.5371,98.31,0.0172,nan
1214.4196,4249.0205,4249020.5,nan,10.2307,10.2307,1.1818,152.4,0.0,nan,69.4449,0.8535,0.8858,1214.4196,0.6464,nan,nan,0.2226,0.0199,0.0199,13940.3555,2.1245,0.8535,0.8535,0.7284,85.1674,1.0,1.0,1.0,-1147.6896,99.92,0.0199,nan
1214.572,4267.9004,4267900.0,nan,10.2318,10.2318,1.1878,152.4,0.0,nan,71.1144,0.8582,0.8882,1214.572,0.6561,nan,nan,0.2214,0.02,0.02,14002.2969,2.1339,0.8581,0.8581,0.7364,85.0723,1.0,1.0,1.0,-1147.8419,99.997,0.02,nan
