DEPTH,ACOUSTICIMPEDANCE1,AI,BS,CALI,CALI[DERIVED]1,DRES,DT,DT2,DT4P,FACIES,FLD1,GR,GR_EDTC,LLD,LLS,M2R2,LLS_1,LLD_1,DEPTH_1,MSFL,NPHI,PERF_INT,PIMP,PR,RHOB,RT_MODELLING,RT_POWER,SP,TDVSS,TENS,VPVS,ZLT
1333.6522,9286.8916,nan,8.5,8.7746,8.7746,1.2181,68.3158,237.193,68.3158,nan,nan,69.8744,52.8601,60.52,89.171,1.316,1.198,1.219,1333.6521,17.9963,0.534,nan,nan,0.4548,2.0815,60.52,3662.6704,233.0696,-1178.6877,2156.4922,3.472,nan
1333.8046,9559.7959,9559701.0,8.5,8.7751,8.7751,1.2205,66.3656,234.3918,66.3656,nan,nan,70.1039,53.5451,60.52,98.6,1.326,1.2,1.22,1333.8046,32.2073,0.5319,nan,31363.8477,0.4564,2.0815,60.52,3662.6704,233.0909,-1178.8082,2063.1233,3.5318,nan
1333.957,9497.2393,9497190.0,8.5,8.7743,8.7743,1.2346,66.2411,233.6058,66.2411,0.0,nan,69.3718,50.8249,60.52,98.6,1.34,1.211,1.23,1333.9569,34.92,0.532,nan,31158.7598,0.4563,2.064,60.52,3662.6704,233.0747,-1178.9287,1983.105,3.5266,nan
1334.1094,9101.208,9101241.0,8.5,8.7738,8.7738,1.2737,68.2661,233.4708,68.2661,0.0,nan,68.1369,50.454,60.52,98.6,1.3829,1.2519,1.2719,1334.1094,42.7725,0.5243,nan,29859.7148,0.4533,2.0384,60.52,3662.6704,233.0234,-1179.0492,1916.0879,3.42,nan
1334.2618,9246.2207,9246272.0,8.5,8.7734,8.7734,1.3082,66.4505,234.862,66.4505,0.0,nan,67.2326,53.73,60.52,93.2095,1.424,1.2969,1.318,1334.2617,23.4505,0.5139,nan,30335.5391,0.4565,2.0158,60.52,3662.6704,232.9573,-1179.1697,1823.1221,3.5343,nan
1334.4142,9269.9355,9269979.0,8.5,8.7741,8.7741,1.2772,65.7906,233.5958,65.7906,0.0,nan,66.964,53.9386,60.52,78.3335,1.3691,1.2681,1.2891,1334.4142,11.0799,0.5127,nan,30413.3164,0.4569,2.0009,60.52,3662.6704,232.9269,-1179.2902,1813.0132,3.5506,nan
1334.5666,8973.248,8973323.0,8.5,8.7718,8.7718,1.186,67.7009,233.582,67.7009,0.0,nan,67.5472,54.49,60.52,76.3564,1.2342,1.1661,1.1851,1334.5665,14.7363,0.5251,nan,29440.0371,0.4541,1.9931,60.52,3662.6704,232.9711,-1179.4106,1808.0066,3.4502,nan
1334.719,9121.6396,9121705.0,8.5,8.7715,8.7715,1.0986,66.7031,231.9283,66.7031,0.0,nan,69.0814,51.3631,60.52,83.066,1.1191,1.0751,1.0921,1334.719,10.5461,0.5351,nan,29926.8535,0.4549,1.9962,60.52,3662.6704,233.059,-1179.5311,1812.9934,3.4771,nan
1334.8714,9346.1875,9346184.0,8.5,8.7739,8.7739,1.0496,65.5375,232.6739,65.5375,0.0,nan,71.1465,50.42,60.52,72.3773,1.0581,1.028,1.044,1334.8713,6.0434,0.5302,nan,30663.334,0.4569,2.0096,60.52,3662.6704,233.1008,-1179.6516,1861.9357,3.5502,nan
1335.0238,9394.3281,9394269.0,8.5,8.7757,8.7757,1.0371,65.5845,233.1367,65.5845,0.0,nan,72.9061,52.8058,60.52,79.7446,1.04,1.016,1.034,1335.0238,8.7113,0.5203,nan,30821.0938,0.457,2.0214,60.52,3662.6704,233.0509,-1179.7721,1865.9948,3.5548,nan
