iter	Passed	Remaining
0	84	73180
1	99	42814
2	112	32448
3	127	27463
4	142	24434
5	155	22276
6	170	20884
7	184	19809
8	198	18895
9	213	18239
10	229	17839
11	244	17347
12	260	17051
13	275	16747
14	290	16486
15	305	16229
16	322	16082
17	341	16049
18	359	16022
19	376	15908
20	393	15815
21	408	15654
22	422	15451
23	435	15256
24	449	15100
25	463	14945
26	477	14815
27	492	14713
28	505	14575
29	519	14469
30	532	14319
31	546	14228
32	561	14167
33	576	14079
34	589	13989
35	604	13911
36	619	13854
37	633	13790
38	647	13712
39	659	13600
40	671	13502
41	685	13424
42	698	13346
43	713	13314
44	730	13305
45	749	13350
46	767	13350
47	783	13338
48	800	13330
49	814	13281
50	830	13249
51	846	13240
52	863	13237
53	880	13230
54	894	13176
55	907	13115
56	921	13064
57	935	13012
58	949	12965
59	961	12902
60	974	12844
61	988	12797
62	1000	12740
63	1014	12693
64	1026	12636
65	1039	12587
66	1051	12520
67	1064	12477
68	1076	12418
69	1089	12370
70	1103	12336
71	1117	12302
72	1131	12275
73	1144	12236
74	1152	12142
75	1164	12093
76	1178	12062
77	1195	12057
78	1214	12081
79	1230	12077
80	1251	12112
81	1267	12105
82	1286	12116
83	1302	12114
84	1316	12084
85	1330	12054
86	1344	12021
87	1358	11991
88	1371	11958
89	1385	11930
90	1398	11898
91	1412	11867
92	1425	11833
93	1437	11793
94	1450	11757
95	1464	11729
96	1478	11705
97	1492	11682
98	1507	11665
99	1522	11643
100	1537	11627
101	1549	11593
102	1563	11566
103	1576	11535
104	1589	11506
105	1603	11481
106	1615	11444
107	1627	11409
108	1642	11392
109	1662	11409
110	1676	11389
111	1694	11393
112	1711	11390
113	1730	11398
114	1747	11399
115	1766	11403
116	1782	11398
117	1796	11373
118	1810	11347
119	1823	11321
120	1836	11293
121	1850	11267
122	1862	11236
123	1875	11205
124	1888	11177
125	1901	11152
126	1915	11128
127	1929	11107
128	1940	11071
129	1953	11042
130	1966	11021
131	1980	10998
132	1993	10972
133	2007	10948
134	2018	10917
135	2030	10886
136	2042	10854
137	2056	10831
138	2067	10800
139	2081	10778
140	2092	10746
141	2106	10723
142	2122	10715
143	2138	10707
144	2153	10692
145	2167	10675
146	2185	10673
147	2201	10664
148	2217	10654
149	2233	10646
150	2250	10641
151	2268	10639
152	2284	10629
153	2299	10614
154	2314	10602
155	2329	10585
156	2343	10569
157	2358	10552
158	2373	10538
159	2388	10523
160	2403	10509
161	2418	10494
162	2433	10478
163	2447	10462
164	2460	10438
165	2473	10416
166	2488	10399
167	2502	10383
168	2516	10365
169	2531	10347
170	2543	10322
171	2556	10301
172	2572	10288
173	2588	10278
174	2606	10276
175	2625	10276
176	2641	10267
177	2657	10257
178	2675	10255
179	2691	10243
180	2709	10237
181	2725	10228
182	2741	10215
183	2754	10195
184	2766	10168
185	2779	10145
186	2792	10125
187	2804	10098
188	2816	10074
189	2829	10052
190	2843	10033
191	2855	10008
192	2867	9985
193	2879	9960
194	2893	9940
195	2907	9922
196	2922	9908
197	2936	9891
198	2950	9875
199	2963	9853
200	2977	9836
201	2991	9819
202	3006	9802
203	3020	9786
204	3036	9776
205	3054	9771
206	3072	9766
207	3090	9761
208	3107	9753
209	3125	9749
210	3144	9745
211	3160	9736
212	3179	9733
213	3197	9728
214	3213	9716
215	3228	9701
216	3243	9686
217	3258	9669
218	3272	9651
219	3285	9632
220	3299	9613
221	3312	9594
222	3325	9575
223	3339	9557
224	3354	9540
225	3368	9523
226	3382	9506
227	3396	9488
228	3411	9473
229	3425	9458
230	3439	9438
231	3451	9418
232	3464	9396
233	3476	9375
234	3489	9354
235	3503	9336
236	3516	9317
237	3529	9299
238	3544	9284
239	3560	9273
240	3577	9264
241	3592	9248
242	3607	9233
243	3624	9223
244	3643	9220
245	3661	9212
246	3677	9202
247	3693	9188
248	3712	9184
249	3727	9170
250	3739	9148
251	3753	9129
252	3768	9114
253	3781	9096
254	3793	9074
255	3806	9056
256	3819	9036
257	3834	9020
258	3848	9004
259	3862	8987
260	3876	8970
261	3891	8955
262	3904	8937
263	3918	8921
264	3932	8903
265	3947	8889
266	3961	8873
267	3976	8858
268	3988	8836
269	4001	8818
270	4014	8800
271	4027	8780
272	4042	8765
273	4059	8755
274	4075	8744
275	4093	8735
276	4109	8724
277	4127	8715
278	4143	8703
279	4161	8693
280	4176	8680
281	4193	8669
282	4208	8655
283	4223	8639
284	4240	8629
285	4256	8616
286	4273	8606
287	4288	8592
288	4303	8578
289	4319	8563
290	4333	8547
291	4348	8532
292	4363	8517
293	4378	8503
294	4393	8490
295	4408	8475
296	4423	8460
297	4438	8444
298	4450	8425
299	4464	8408
300	4478	8391
301	4491	8372
302	4504	8355
303	4518	8337
304	4533	8323
305	4550	8312
306	4568	8303
307	4589	8299
308	4605	8287
