DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1300.0,4892.0342,nan,nan,10.0114,10.0114,141.0027,0.0,nan,55.466,0.9409,0.8954,0.9896,1300.0,0.586,nan,nan,nan,nan,nan,2.2631,0.9409,0.8853,56.6979,nan,nan,-1224.0,nan,nan,nan
1300.1244,4941.8057,4941806.0,nan,10.0177,10.0177,140.668,0.0,nan,55.1661,0.9473,0.9021,0.9911,1300.1244,0.581,nan,nan,nan,nan,16213.2734,2.2807,0.9473,0.8974,56.5547,nan,nan,-1224.1244,nan,nan,nan
1300.1524,4961.8921,4964577.0,nan,10.0191,10.0191,140.3419,0.0,nan,55.0985,0.9487,0.9036,0.9914,1300.1523,0.5799,nan,nan,0.0224,0.0224,16287.9814,2.2846,0.9487,0.9001,56.5224,1.0,1.0,-1224.1523,82.823,0.0224,nan
1300.2768,5065.7446,5065745.0,nan,10.024,10.024,138.893,0.0,nan,54.1602,0.9696,0.9305,1.0197,1300.2769,0.5684,nan,nan,0.0224,0.0224,16619.8984,2.3084,0.9696,0.9402,56.2568,1.0,1.0,-1224.2769,82.7977,0.0224,nan
1300.3048,5099.8999,5102209.5,nan,10.0251,10.0251,138.2821,0.0,nan,53.949,0.9743,0.9366,1.026,1300.3048,0.5658,nan,nan,0.0225,0.0225,16739.5332,2.3137,0.9743,0.9492,56.197,1.0,1.0,-1224.3048,82.792,0.0225,nan
1300.4292,5264.2158,5264216.0,nan,10.0405,10.0405,135.568,0.0,nan,52.5036,1.0052,0.9844,1.1116,1300.4292,0.5483,nan,nan,0.0232,0.0232,17271.0508,2.3414,1.0052,1.0107,55.831,1.0,1.0,-1224.4292,82.2067,0.0232,nan
1300.4572,5307.8271,5308778.5,nan,10.044,10.044,134.8118,0.0,nan,52.1782,1.0122,0.9952,1.1308,1300.4572,0.5443,nan,nan,0.0234,0.0234,17417.2539,2.3476,1.0122,1.0245,55.7486,1.0,1.0,-1224.4572,82.075,0.0234,nan
1300.5816,5506.7632,5506763.0,nan,10.0673,10.0673,131.452,0.0,nan,50.3113,1.0412,1.056,1.1914,1300.5815,0.5226,nan,nan,0.0266,0.0266,18066.8086,2.3749,1.0412,1.0844,55.3604,1.0,1.0,-1224.5815,79.4499,0.0266,nan
1300.6096,5538.7017,5536087.0,nan,10.0725,10.0725,131.032,0.0,nan,49.8911,1.0478,1.0697,1.205,1300.6095,0.5177,nan,nan,0.0274,0.0274,18163.0176,2.3811,1.0478,1.0978,55.273,1.0,1.0,-1224.6095,78.859,0.0274,nan
1300.734,5666.3706,5666370.5,nan,10.0969,10.0969,129.166,0.0,nan,48.3843,1.0605,1.1265,1.2634,1300.734,0.4988,nan,nan,0.0302,0.0302,18590.4551,2.4013,1.0605,1.1246,54.9309,1.0,1.0,-1224.734,76.2567,0.0302,nan
1300.762,5672.3442,5667330.5,nan,10.1024,10.1024,129.2742,0.0,nan,48.0452,1.0633,1.1392,1.2765,1300.762,0.4945,nan,nan,0.0308,0.0308,18593.6035,2.4058,1.0633,1.1306,54.854,1.0,1.0,-1224.762,75.671,0.0308,nan
1300.8864,5671.5947,5671595.0,nan,10.1222,10.1222,129.755,0.0,nan,47.8788,1.0498,1.1655,1.3815,1300.8864,0.4862,nan,nan,0.0319,0.0319,18607.5938,2.4144,1.0498,1.1022,54.6214,1.0,1.0,-1224.8864,74.7992,0.0319,nan
1300.9144,5660.9751,5655172.5,nan,10.1267,10.1267,130.103,0.0,nan,47.8414,1.0468,1.1715,1.4052,1300.9143,0.4843,nan,nan,0.0322,0.0322,18553.7148,2.4164,1.0468,1.0957,54.569,1.0,1.0,-1224.9143,74.603,0.0322,nan
1301.0388,5582.2104,5582210.5,nan,10.126,10.126,131.649,0.0,nan,49.3785,1.0079,1.1432,1.4672,1301.0388,0.4923,nan,nan,0.0302,0.0302,18314.3379,2.4111,1.0079,1.0162,54.4848,1.0,1.0,-1225.0388,76.1743,0.0302,nan
1301.0668,5563.3354,5557770.0,nan,10.1258,10.1258,132.0302,0.0,nan,49.7245,0.9991,1.1368,1.4811,1301.0668,0.4941,nan,nan,0.0297,0.0297,18234.1523,2.4099,0.9991,0.9983,54.4658,1.0,1.0,-1225.0668,76.528,0.0297,nan
1301.1912,5449.1831,5449183.0,nan,10.1042,10.1042,133.724,0.0,nan,52.1424,0.945,1.0543,1.4057,1301.1912,0.5113,nan,nan,0.0262,0.0262,17877.8965,2.3907,0.945,0.8937,54.5517,1.0,1.0,-1225.1912,79.3882,0.0262,nan
1301.2192,5406.0522,5403080.0,nan,10.0994,10.0994,134.5477,0.0,nan,52.6866,0.9328,1.0357,1.3887,1301.2191,0.5152,nan,nan,0.0254,0.0254,17726.6406,2.3864,0.9328,0.8701,54.5711,1.0,1.0,-1225.2191,80.032,0.0254,nan
1301.3436,5198.252,5198251.5,nan,10.0544,10.0544,138.207,0.0,nan,55.2771,0.8775,0.9316,1.2955,1301.3436,0.5293,nan,nan,0.0231,0.0231,17054.6309,2.3571,0.8775,0.7707,54.8129,1.0,1.0,-1225.3436,82.2261,0.0231,nan
1301.3716,5141.1665,5141844.5,nan,10.0443,10.0443,139.3503,0.0,nan,55.8602,0.8651,0.9081,1.2746,1301.3716,0.5325,nan,nan,0.0225,0.0225,16869.5684,2.3505,0.8651,0.7484,54.8673,1.0,1.0,-1225.3716,82.72,0.0225,nan
1301.496,4891.2373,4891237.5,nan,9.992,9.992,144.43,0.0,nan,57.7649,0.8164,0.8175,1.1739,1301.496,0.5337,nan,nan,0.0225,0.0225,16047.3672,2.3177,0.8164,0.667,55.2277,1.0,1.0,-1225.496,82.7208,0.0225,nan
1301.524,4828.8496,4832834.0,nan,9.9802,9.9802,145.8307,0.0,nan,58.1936,0.8054,0.7972,1.1512,1301.5239,0.534,nan,nan,0.0225,0.0225,15855.7549,2.3104,0.8054,0.6487,55.3088,1.0,1.0,-1225.5239,82.721,0.0225,nan
1301.6484,4573.356,4573356.0,nan,9.9281,9.9281,152.054,0.0,nan,59.0733,0.7643,0.7371,1.0136,1301.6484,0.5228,nan,nan,0.0235,0.0235,15004.4492,2.2815,0.7643,0.5846,55.729,1.0,1.0,-1225.6484,82.0165,0.0235,nan
1301.6764,4528.7373,4533484.5,nan,9.9164,9.9164,153.1149,0.0,nan,59.2712,0.7551,0.7236,0.9826,1301.6764,0.5203,nan,nan,0.0237,0.0237,14873.6377,2.275,0.7551,0.5701,55.8236,1.0,1.0,-1225.6764,81.858,0.0237,nan
1301.8008,4356.3418,4356342.0,nan,9.878,9.878,157.828,0.0,nan,58.9667,0.7196,0.6931,0.8729,1301.8008,0.5031,nan,nan,0.0264,0.0264,14292.46,2.2558,0.7196,0.5181,56.2079,1.0,1.0,-1225.8008,79.7545,0.0264,nan
1301.8288,4348.0854,4351696.5,nan,9.8694,9.8694,157.8241,0.0,nan,58.8982,0.7116,0.6863,0.8482,1301.8287,0.4993,nan,nan,0.027,0.027,14277.2188,2.2514,0.7116,0.5064,56.2944,1.0,1.0,-1225.8287,79.281,0.027,nan
1301.9532,4331.0571,4331057.0,nan,9.8313,9.8313,157.807,0.0,nan,58.1556,0.682,0.676,0.8372,1301.9532,0.4846,nan,nan,0.0293,0.0293,14209.5049,2.2424,0.682,0.4653,56.6275,1.0,1.0,-1225.9532,77.5554,0.0293,nan
1301.9812,4356.2808,4359113.0,nan,9.8228,9.8228,156.7506,0.0,nan,57.9885,0.6753,0.6737,0.8347,1301.9812,0.4813,nan,nan,0.0298,0.0298,14301.5508,2.2403,0.6753,0.4561,56.7025,1.0,1.0,-1225.9812,77.167,0.0298,nan
1302.1056,4483.7603,4483760.5,nan,9.7985,9.7985,152.057,0.0,nan,57.4245,0.6544,0.6728,0.8689,1302.1056,0.4691,nan,nan,0.0316,0.0316,14710.5,2.2368,0.6544,0.4283,56.9642,1.0,1.0,-1226.1056,75.7695,0.0316,nan
1302.1336,4516.3652,4517728.0,nan,9.7931,9.7931,150.9063,0.0,nan,57.2976,0.6497,0.6726,0.8766,1302.1335,0.4664,nan,nan,0.032,0.032,14821.9424,2.2361,0.6497,0.4221,57.0231,1.0,1.0,-1226.1335,75.455,0.032,nan
1302.258,4668.6406,4668640.5,nan,9.7882,9.7882,145.794,0.0,nan,57.2659,0.6418,0.6747,0.8993,1302.2581,0.459,nan,nan,0.0331,0.0331,15317.0625,2.2331,0.6418,0.4119,57.1791,1.0,1.0,-1226.2581,74.5979,0.0331,nan
1302.286,4691.2715,4691129.5,nan,9.7871,9.7871,145.0481,0.0,nan,57.2588,0.64,0.6751,0.9044,1302.286,0.4573,nan,nan,0.0334,0.0334,15390.8457,2.2325,0.64,0.4097,57.2141,1.0,1.0,-1226.286,74.405,0.0334,nan
1302.4104,4791.0464,4791046.0,nan,9.7886,9.7886,141.734,0.0,nan,58.3146,0.6474,0.6799,0.911,1302.4104,0.4622,nan,nan,0.0325,0.0325,15718.6553,2.2279,0.6474,0.4191,57.2791,1.0,1.0,-1226.4104,75.0858,0.0325,nan
1302.4384,4794.1396,4794022.0,nan,9.7889,9.7889,141.5766,0.0,nan,58.5522,0.649,0.681,0.9125,1302.4384,0.4633,nan,nan,0.0323,0.0323,15728.4189,2.2268,0.649,0.4212,57.2937,1.0,1.0,-1226.4384,75.239,0.0323,nan
