DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,BS,CALI,CALI[DERIVED]1,CALI1,DEVI,DFL,DT,DT1,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1300.0,4962.9722,nan,nan,8.5,8.9967,8.9967,8.9967,0.9264,0.9664,137.6588,137.659,nan,nan,53.8098,0.8135,0.8339,1300.0,0.5618,nan,nan,0.0286,0.0286,nan,2.2415,0.9664,0.9339,281.7878,1.0,1.0,-1223.84,68.497,0.0286,nan
1300.0266,4988.4341,4988434.0,nan,8.5,9.0066,9.0066,9.0018,0.9393,0.9451,137.3831,136.9599,nan,nan,53.5563,0.8177,0.8376,1300.0266,0.5589,nan,nan,0.0288,0.0288,16366.2539,2.2484,0.9451,0.8954,281.7414,1.0,1.0,-1223.8666,68.308,0.0288,nan
1300.1524,5202.9956,5203653.5,nan,8.5,9.0259,9.0259,9.0259,0.9432,0.8445,133.6534,133.6538,0.0,nan,52.3576,0.8374,0.8552,1300.1523,0.5454,nan,nan,0.0296,0.0296,17072.3555,2.2815,0.8445,0.7132,281.5224,1.0,1.0,-1223.9923,67.414,0.0296,nan
1300.179,5249.1611,5249161.0,nan,8.5,9.03,9.03,9.0139,0.944,0.8504,132.8648,132.7659,0.0,nan,52.0793,0.8533,0.871,1300.179,0.5443,nan,nan,0.0296,0.0296,17221.6582,2.2882,0.8504,0.7234,281.488,1.0,1.0,-1224.0189,67.48,0.0296,nan
1300.3048,5499.3672,5494767.0,nan,8.5,8.9573,8.9573,8.9573,1.1661,0.8784,128.5661,128.5666,0.0,nan,50.7631,0.9281,0.9456,1300.3048,0.5389,nan,nan,0.0293,0.0293,18027.4512,2.3197,0.8784,0.7716,281.3256,1.0,1.0,-1224.1448,67.792,0.0293,nan
1300.3314,5546.6997,5546699.5,nan,8.5,8.9419,8.9419,8.9392,1.2131,0.9547,127.6572,128.0299,0.0,nan,50.561,0.9464,0.9644,1300.3314,0.5403,nan,nan,0.0291,0.0291,18197.834,2.3231,0.9547,0.9389,281.3606,1.0,1.0,-1224.1714,68.0329,0.0291,nan
1300.4572,5681.7437,5669310.0,nan,8.5,8.8535,8.8535,8.8535,1.1525,1.3154,125.4919,125.4921,0.0,nan,49.6055,1.0332,1.0533,1300.4572,0.5472,nan,nan,0.028,0.028,18600.0996,2.3393,1.3154,1.7301,281.526,1.0,1.0,-1224.2971,69.172,0.028,nan
1300.4838,5695.2354,5695235.5,nan,8.5,8.8348,8.8348,8.8419,1.1397,1.4009,125.034,125.5329,0.0,nan,49.6034,1.0423,1.0628,1300.4838,0.55,nan,nan,0.0278,0.0278,18685.1562,2.3363,1.4009,1.9971,281.5785,1.0,1.0,-1224.3237,69.3771,0.0278,nan
1300.6096,5629.4932,5622232.5,nan,8.5,8.7868,8.7868,8.7868,1.0414,1.8054,125.7259,125.7258,0.0,nan,49.5932,1.0853,1.1073,1300.6095,0.5631,nan,nan,0.027,0.027,18445.6445,2.3221,1.8054,3.2596,281.8266,1.0,1.0,-1224.4496,70.347,0.027,nan
1300.6362,5606.7964,5606796.0,nan,8.5,8.7767,8.7767,8.7837,1.0206,1.8179,125.8722,126.3449,0.0,nan,49.8122,1.0778,1.0998,1300.6361,0.5649,nan,nan,0.0269,0.0269,18395.0,2.3154,1.8179,3.3056,281.8511,1.0,1.0,-1224.4762,70.4018,0.0269,nan
1300.762,5384.9072,5393661.5,nan,8.5,8.7689,8.7689,8.7689,0.8501,1.8771,129.2731,129.2728,0.0,nan,50.8479,1.0424,1.0645,1300.762,0.573,nan,nan,0.0267,0.0267,17695.7402,2.2839,1.8771,3.5234,281.967,1.0,1.0,-1224.6019,70.661,0.0267,nan
1300.7886,5348.5952,5348595.0,nan,8.5,8.7673,8.7673,8.7716,0.8141,1.7772,129.9922,130.1057,0.0,nan,51.2212,1.025,1.0466,1300.7886,0.5727,nan,nan,0.0267,0.0267,17547.8848,2.2811,1.7772,3.2055,281.9919,1.0,1.0,-1224.6285,70.5989,0.0267,nan
1300.9144,5156.9551,5166535.5,nan,8.5,8.784,8.784,8.784,0.922,1.3047,134.0452,134.0448,0.0,nan,52.987,0.943,0.9619,1300.9143,0.5708,nan,nan,0.027,0.027,16950.5762,2.2679,1.3047,1.7023,282.1092,1.0,1.0,-1224.7544,70.305,0.027,nan
