DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,AZI1,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1185.062,4571.8472,4571847.0,nan,-639.25,14.158,14.158,-639.25,1.3846,147.5336,nan,nan,46.3028,1.2806,1.2872,1185.062,0.6442,-621.6534,nan,nan,0.0212,0.0212,14999.498,2.2129,1.2828,1.2828,1.6456,1.0,1.0,1.0,-1103.7521,87.304,0.0212,nan
1185.2144,4568.895,4568895.0,nan,-639.25,14.0581,14.0581,-639.25,1.4195,147.5495,nan,nan,44.7025,1.3014,1.3047,1185.2145,0.6301,-621.7393,nan,nan,0.0254,0.0254,14989.8125,2.2117,1.3035,1.3035,1.6992,1.0,1.0,1.0,-1103.9044,84.735,0.0254,nan
1185.3668,4614.3896,4614389.5,nan,-639.25,13.9722,13.9722,-639.25,1.4543,146.1384,0.0,nan,43.2761,1.3209,1.3232,1185.3668,0.6078,-621.8251,nan,nan,0.0317,0.0317,15139.0732,2.2124,1.3224,1.3224,1.7487,1.0,1.0,1.0,-1104.0569,80.99,0.0317,nan
1185.5192,4649.606,4649606.0,nan,-639.25,13.9569,13.9569,-639.25,1.4596,144.9254,0.0,nan,43.0454,1.3347,1.3371,1185.5193,0.5869,-621.9109,nan,nan,0.0372,0.0372,15254.6123,2.2108,1.3359,1.3359,1.7846,1.0,1.0,1.0,-1104.2092,77.657,0.0372,nan
1185.6716,4644.2466,4644246.5,nan,-639.25,13.9893,13.9893,-639.25,1.4666,145.2015,0.0,nan,44.7305,1.3457,1.35,1185.6716,0.5761,-621.9968,nan,nan,0.0398,0.0398,15237.0283,2.2124,1.3468,1.3468,1.8137,1.0,1.0,1.0,-1104.3617,76.144,0.0398,nan
1185.824,4616.7476,4616747.5,nan,-639.25,14.0092,14.0092,-639.25,1.4837,146.3417,0.0,nan,47.1077,1.3557,1.3636,1185.824,0.5777,-622.0826,nan,nan,0.0387,0.0387,15146.8096,2.2166,1.3568,1.3568,1.8409,1.0,1.0,1.0,-1104.514,76.759,0.0387,nan
1185.9764,4585.4087,4585408.5,nan,-639.25,13.9975,13.9975,-639.25,1.4914,147.4722,0.0,nan,48.492,1.3654,1.3762,1185.9764,0.5916,-622.1684,nan,nan,0.0345,0.0345,15043.9912,2.2186,1.3665,1.3665,1.8673,1.0,1.0,1.0,-1104.6664,79.274,0.0345,nan
1186.1288,4563.5439,4563544.0,nan,-639.25,14.0168,14.0168,-639.25,1.5024,148.2495,0.0,nan,48.6375,1.3752,1.3864,1186.1288,0.6114,-622.2543,nan,nan,0.0291,0.0291,14972.2568,2.2196,1.3763,1.3763,1.8942,1.0,1.0,1.0,-1104.8188,82.514,0.0291,nan
1186.2812,4559.9766,4559976.5,nan,-639.25,14.0655,14.0655,-639.25,1.5028,148.2766,0.0,nan,47.4853,1.3851,1.3945,1186.2812,0.6249,-622.3401,nan,nan,0.0257,0.0257,14960.5527,2.2183,1.3864,1.3864,1.9222,1.0,1.0,1.0,-1104.9712,84.553,0.0257,nan
1186.4336,4567.3843,4567384.0,nan,-639.25,14.0688,14.0688,-639.25,1.5142,147.7925,0.0,nan,45.4697,1.3971,1.4029,1186.4336,0.6274,-622.4259,nan,nan,0.0254,0.0254,14984.8555,2.2146,1.3986,1.3986,1.956,1.0,1.0,1.0,-1105.1237,84.756,0.0254,nan
