DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,DEPTH_1,NPHI,ONE-WAYTIME1,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,SP,SUWI_MODELLING,TDVSS,ZLT
1275.0552,12875.0811,12875081.0,nan,9.7141,9.7141,50.2544,nan,nan,50.2128,0.7203,0.7193,1275.0552,0.534,-575.2405,nan,42241.082,2.1228,0.7203,7.3701,nan,-1192.2452,nan
1275.2076,12854.2256,12854226.0,nan,9.7848,9.7848,50.3881,nan,nan,49.7509,0.7146,0.7085,1275.2076,0.5316,-575.314,nan,42172.6562,2.125,0.7146,7.3553,nan,-1192.3976,nan
1275.36,13024.1377,13024138.0,nan,9.83,9.83,49.8852,nan,nan,48.2513,0.7091,0.7031,1275.36,0.5126,-575.3876,nan,42730.1094,2.1316,0.7091,7.3457,nan,-1192.5499,nan
1275.5124,13093.3428,13093343.0,nan,9.8587,9.8587,49.9032,nan,nan,46.8212,0.7035,0.7012,1275.5123,0.5137,-575.4611,nan,42957.1602,2.1437,0.7035,7.2431,nan,-1192.7024,nan
1275.6648,13169.9307,13169931.0,nan,9.8756,9.8756,50.0157,nan,nan,45.3463,0.698,0.6992,1275.6648,0.5472,-575.5346,nan,43208.4336,2.1611,0.698,7.2091,nan,-1192.8547,nan
1275.8172,13074.0869,13074087.0,nan,9.8687,9.8687,50.6831,nan,nan,44.0819,0.6926,0.6973,1275.8171,0.555,-575.6082,nan,42893.9844,2.174,0.6926,7.207,nan,-1193.0072,nan
1275.9696,12864.3818,12864382.0,nan,9.842,9.842,51.4311,nan,nan,43.6654,0.6872,0.6953,1275.9696,0.5612,-575.6817,nan,42205.9766,2.1707,0.6872,7.2263,nan,-1193.1595,nan
1276.122,12617.2764,12617276.0,nan,9.788,9.788,52.1678,nan,nan,43.3915,0.682,0.6934,1276.1219,0.5566,-575.7552,nan,41395.2656,2.1595,0.682,7.3342,nan,-1193.312,nan
1276.2744,12552.6416,12552642.0,nan,9.7251,9.7251,52.2883,nan,nan,44.1249,0.6725,0.6914,1276.2744,0.539,-575.8287,nan,41183.207,2.1534,0.6725,7.4177,nan,-1193.4644,nan
1276.4268,12730.3486,12730349.0,nan,9.7157,9.7157,51.5991,nan,nan,46.1805,0.6687,0.6877,1276.4268,0.5245,-575.9023,nan,41766.2344,2.1551,0.6687,7.5616,nan,-1193.6168,nan
1276.5792,12971.543,12971543.0,nan,9.7864,9.7864,50.6185,nan,nan,48.6156,0.6648,0.6813,1276.5792,0.5152,-575.9758,nan,42557.5586,2.1542,0.6648,7.7389,nan,-1193.7692,nan
1276.7316,12993.3594,12993360.0,nan,9.867,9.867,50.5171,nan,nan,49.6999,0.661,0.6749,1276.7316,0.5152,-576.0493,nan,42629.1328,2.1535,0.661,7.8488,nan,-1193.9216,nan
1276.884,13127.085,13127085.0,nan,9.9363,9.9363,50.1209,nan,nan,49.46,0.6572,0.6686,1276.884,0.518,-576.1229,nan,43067.8633,2.1586,0.6572,7.9074,nan,-1194.074,nan
