DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,TEMP,VCL,WATER_VOL,ZLT
1171.1084,4400.7397,4400740.0,nan,159.252,nan,nan,131.5694,1.2245,1.3359,1171.1084,0.6631,-530.9366,nan,nan,nan,nan,14438.123,2.2993,1.2245,1.4994,86.1087,nan,nan,nan,-1088.6284,145.207,nan,nan,nan
1171.2608,4444.9941,4444994.5,nan,156.9122,nan,nan,130.5435,1.2272,1.3395,1171.2607,0.6701,-531.011,nan,nan,nan,nan,14583.3145,2.2883,1.2272,1.506,86.1218,nan,nan,nan,-1088.7808,145.2155,nan,nan,nan
1171.4132,4526.3853,4526385.5,nan,153.6732,nan,nan,129.0353,1.2204,1.3282,1171.4132,0.6642,-531.0853,nan,nan,nan,nan,14850.3457,2.2821,1.2204,1.4894,86.0908,nan,nan,nan,-1088.9332,145.224,nan,nan,nan
1171.5656,4611.1943,4611194.0,nan,150.556,nan,nan,127.8002,1.2006,1.3011,1171.5656,0.6607,-531.1597,nan,nan,nan,nan,15128.5898,2.2777,1.2006,1.4414,86.0278,nan,nan,nan,-1089.0856,145.2325,nan,nan,nan
1171.718,4685.873,4685873.0,nan,147.5972,nan,nan,127.5613,1.1822,1.2779,1171.718,0.6423,-531.234,nan,nan,nan,nan,15373.5996,2.2691,1.1822,1.3976,85.8048,nan,nan,nan,-1089.2379,145.241,nan,nan,nan
1171.8704,4778.1069,4778106.5,nan,144.0017,nan,nan,128.2749,1.1755,1.272,1171.8704,0.6847,-531.3083,nan,nan,nan,nan,15676.2031,2.2574,1.1755,1.3818,85.5492,nan,nan,nan,-1089.3904,145.2495,nan,nan,nan
1172.0228,4893.1914,4893191.5,nan,140.5775,nan,nan,129.3554,1.1761,1.2774,1172.0228,0.6492,-531.3826,nan,nan,nan,nan,16053.7773,2.2568,1.1761,1.3832,85.1959,nan,nan,nan,-1089.5427,145.258,nan,nan,nan
1172.1752,4989.9243,4989924.0,nan,138.567,nan,nan,130.4338,1.1725,1.276,1172.1752,0.6336,-531.457,nan,nan,nan,nan,16371.1426,2.2685,1.1725,1.3748,84.998,nan,nan,nan,-1089.6952,145.2664,nan,nan,nan
1172.3276,5024.1929,5024192.5,nan,138.4348,nan,nan,131.4246,1.1552,1.2547,1172.3275,0.6263,-531.5313,nan,nan,nan,nan,16483.5723,2.2819,1.1552,1.3345,84.8678,nan,nan,nan,-1089.8475,145.2749,nan,nan,nan
1172.48,4967.1836,4967183.5,nan,140.0175,nan,nan,131.9356,1.1335,1.2249,1172.48,0.6366,-531.6056,nan,nan,nan,nan,16296.5342,2.2818,1.1335,1.2848,84.8844,nan,nan,nan,-1090.0,145.2834,nan,nan,nan
