DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,NPHI,PEF,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,TEMP,VCL,WATER_VOL,ZLT
1335.18,4716.8643,4716864.0,nan,9.054,9.054,142.033,0.0,nan,nan,0.775,0.771,0.5419,3.844,nan,nan,nan,nan,nan,15475.2764,2.198,0.775,0.6006,444.186,nan,nan,nan,-1271.8201,nan,nan,nan,nan
1335.332,4686.3091,4686309.0,nan,9.044,9.044,142.829,0.0,nan,75.2387,0.744,0.746,0.5174,3.851,nan,nan,nan,nan,nan,15375.0303,2.196,0.744,0.5535,444.374,nan,nan,nan,-1271.972,152.0546,nan,nan,nan
1335.4841,4624.0469,4624046.5,nan,9.027,9.027,144.884,0.0,nan,74.0052,0.726,0.731,0.4924,3.877,nan,nan,nan,nan,nan,15170.7568,2.198,0.726,0.5271,444.461,nan,nan,nan,-1272.124,152.0627,nan,nan,nan
1335.6361,4560.1855,4560185.5,nan,8.992,8.992,147.314,0.0,nan,71.5126,0.721,0.729,0.4938,3.93,nan,nan,0.1966,0.0314,0.0314,14961.2383,2.204,0.721,0.5198,444.517,1.0,1.0,1.0,-1272.276,152.071,82.609,0.0314,nan
1335.7881,4573.3652,4573365.0,nan,8.958,8.958,147.356,0.0,nan,71.2678,0.722,0.733,0.5385,3.971,nan,nan,0.1973,0.0247,0.0247,15004.4785,2.211,0.722,0.5213,444.597,1.0,1.0,1.0,-1272.4281,152.0791,86.319,0.0247,nan
1335.94,4601.9941,4601994.0,nan,8.952,8.952,146.638,0.0,nan,73.4879,0.725,0.738,0.5879,3.979,nan,nan,0.1977,0.0216,0.0216,15098.4053,2.214,0.725,0.5256,444.683,1.0,1.0,1.0,-1272.5801,152.0873,88.031,0.0216,nan
1336.092,4586.4688,4586469.0,nan,8.983,8.983,146.935,0.0,nan,75.3676,0.732,0.749,0.6047,3.987,nan,nan,0.1975,0.0229,0.0229,15047.4697,2.211,0.732,0.5358,444.64,1.0,1.0,1.0,-1272.7321,152.0956,87.276,0.0229,nan
1336.2441,4548.3008,4548301.0,nan,9.026,9.026,147.9,0.0,nan,75.6936,0.748,0.768,0.5941,3.99,nan,nan,0.1976,0.0217,0.0217,14922.2471,2.207,0.748,0.5595,444.376,1.0,1.0,1.0,-1272.884,152.1038,87.942,0.0217,nan
1336.3961,4551.3486,4551348.5,nan,9.068,9.068,147.734,0.0,nan,74.9779,0.769,0.794,0.5612,3.99,nan,nan,0.1974,0.0235,0.0235,14932.2461,2.206,0.769,0.5914,444.03,1.0,1.0,1.0,-1273.0361,152.112,86.973,0.0235,nan
1336.5481,4580.8979,4580898.0,nan,9.105,9.105,146.781,0.0,nan,73.7733,0.793,0.822,0.5168,3.999,nan,nan,0.1967,0.0299,0.0299,15029.1934,2.206,0.793,0.6288,443.818,1.0,1.0,1.0,-1273.188,152.1201,83.407,0.0299,nan
1336.7,4611.752,4611752.0,nan,9.133,9.133,145.799,0.0,nan,73.1585,0.811,0.844,0.4917,4.008,nan,nan,0.1963,0.0341,0.0341,15130.4199,2.206,0.811,0.6577,443.818,1.0,1.0,1.0,-1273.3401,152.1283,81.081,0.0341,nan
1336.852,4661.2344,4661234.5,nan,9.15,9.15,144.382,0.0,nan,73.5151,0.823,0.861,0.5039,4.009,nan,nan,0.1964,0.0332,0.0332,15292.7646,2.208,0.823,0.6773,443.964,1.0,1.0,1.0,-1273.4921,152.1365,81.605,0.0332,nan
1337.0041,4707.2124,4707212.5,nan,9.162,9.162,143.425,0.0,nan,73.5207,0.838,0.88,0.5406,4.014,nan,nan,0.1966,0.0308,0.0308,15443.6104,2.215,0.838,0.7022,444.045,1.0,1.0,1.0,-1273.644,152.1447,82.95,0.0308,nan
1337.1561,4754.8501,4754850.0,nan,9.173,9.173,142.565,0.0,nan,72.6866,0.861,0.908,0.5693,4.018,nan,nan,0.1965,0.032,0.032,15599.9014,2.224,0.861,0.7413,443.98,1.0,1.0,1.0,-1273.796,152.1529,82.225,0.032,nan
1337.3081,4784.7979,4784798.0,nan,9.207,9.207,141.609,0.0,nan,72.9751,0.886,0.939,0.5754,4.023,nan,nan,0.1962,0.0349,0.0349,15698.1562,2.223,0.886,0.785,444.021,1.0,1.0,1.0,-1273.948,152.1611,80.636,0.0349,nan
1337.46,4737.9243,4737924.0,nan,9.274,9.274,141.659,0.0,nan,74.8866,0.899,0.954,0.5856,4.044,nan,nan,0.1963,0.0341,0.0341,15544.3701,2.202,0.899,0.8082,444.233,1.0,1.0,1.0,-1274.1001,152.1693,81.07,0.0341,nan
1337.612,4626.665,4626665.0,nan,9.333,9.333,142.628,0.0,nan,76.8134,0.905,0.962,0.5936,4.129,nan,nan,0.1967,0.0304,0.0304,15179.3467,2.165,0.905,0.819,444.351,1.0,1.0,1.0,-1274.252,152.1775,83.156,0.0304,nan
1337.764,4473.6592,4473659.5,nan,9.346,9.346,145.394,0.0,nan,78.1191,0.915,0.975,0.5878,4.263,nan,nan,0.1971,0.0264,0.0264,14677.3604,2.134,0.915,0.8372,444.271,1.0,1.0,1.0,-1274.4041,152.1857,85.342,0.0264,nan
1337.9161,4338.5068,4338506.5,nan,9.333,9.333,149.291,0.0,nan,79.7458,0.93,0.992,0.5876,4.263,nan,nan,0.1975,0.023,0.023,14233.9453,2.125,0.93,0.8649,444.121,1.0,1.0,1.0,-1274.556,152.1939,87.259,0.023,nan
1338.0681,4268.0708,4268070.5,nan,9.321,9.321,151.969,0.0,nan,80.6226,0.95,1.014,0.5986,4.05,nan,nan,0.1976,0.0221,0.0221,14002.8564,2.128,0.95,0.9025,443.971,1.0,1.0,1.0,-1274.7081,152.2021,87.721,0.0221,nan
1338.22,4227.688,4227688.0,nan,9.313,9.313,152.988,0.0,nan,79.7368,0.979,1.043,0.5758,3.813,nan,nan,0.1976,0.0223,0.0223,13870.3682,2.122,0.979,0.9584,443.95,1.0,1.0,1.0,-1274.86,152.2103,87.617,0.0223,nan
1338.372,4218.1445,4218144.5,nan,9.3,9.3,152.178,0.0,nan,78.041,1.013,1.079,0.5384,3.743,nan,nan,0.1975,0.0229,0.0229,13839.0566,2.106,1.013,1.0262,444.034,1.0,1.0,1.0,-1275.0121,152.2185,87.274,0.0229,nan
1338.524,4227.8853,4227885.5,nan,9.276,9.276,150.746,0.0,nan,76.9194,1.053,1.119,0.5378,3.796,nan,nan,0.1973,0.0248,0.0248,13871.0156,2.091,1.053,1.1088,443.993,1.0,1.0,1.0,-1275.1641,152.2267,86.227,0.0248,nan
1338.6761,4234.1504,4234150.5,nan,9.26,9.26,150.235,0.0,nan,76.3253,1.094,1.158,0.5674,3.832,nan,nan,0.1971,0.0264,0.0264,13891.5693,2.087,1.094,1.1968,443.819,1.0,1.0,1.0,-1275.3162,152.2349,85.383,0.0264,nan
1338.8281,4234.0088,4234008.5,nan,9.279,9.279,150.456,0.0,nan,75.554,1.123,1.184,0.5736,3.842,nan,nan,0.197,0.0276,0.0276,13891.1045,2.09,1.123,1.2611,443.667,1.0,1.0,1.0,-1275.468,152.2431,84.695,0.0276,nan
