DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,BIT,CALI,CALI_1,NPHI,DT,FACIES,FLD1,GR,M2R2,LLS,LLD,DEPTH_1,NPHI_1,PEF,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI_MODELLING,TDVSS,ZCOR,RHOB_1,ZLT
1239.5456,4567.1758,4567176.0,nan,0.2159,9.0885,9.3885,0.5651,147.1219,nan,nan,84.3455,0.8554,0.8429,0.842,1239.5457,0.5651,5.1139,nan,14984.1729,2.2045,0.842,0.709,193.3365,nan,-1158.8256,0.0882,2.2045,nan
1239.698,4480.5957,4480595.5,nan,0.2159,9.1638,9.4638,0.5628,149.7063,nan,nan,85.9392,1.0141,0.9976,0.9968,1239.698,0.5628,4.9854,nan,14700.1162,2.2007,0.9968,0.9936,193.2721,nan,-1158.978,0.0948,2.2007,nan
1239.8504,4506.1494,4506149.0,nan,0.2159,9.1926,9.4926,0.5731,149.2226,nan,nan,86.8729,1.1238,1.1056,1.1052,1239.8505,0.5731,4.9641,nan,14783.9541,2.2061,1.1052,1.2215,193.1976,nan,-1159.1304,0.0849,2.2061,nan
1240.0028,4549.9058,4549906.0,nan,0.2159,9.1997,9.4997,0.5884,147.8076,nan,nan,85.5047,1.1594,1.1437,1.144,1240.0028,0.5884,5.124,nan,14927.5127,2.2064,1.144,1.3087,193.2108,nan,-1159.2828,0.075,2.2064,nan
1240.1552,4571.0166,4571016.5,nan,0.2159,9.205,9.505,0.588,146.0114,nan,nan,82.9608,1.1708,1.1598,1.1609,1240.1553,0.588,5.394,nan,14996.7734,2.1897,1.1609,1.3477,193.303,nan,-1159.4352,0.0846,2.1897,nan
1240.3076,4538.3628,4538362.5,nan,0.2159,9.2028,9.5028,0.5579,145.1076,nan,nan,82.9649,1.1866,1.1797,1.1817,1240.3076,0.5579,5.5554,nan,14889.6416,2.1606,1.1817,1.3964,193.4286,nan,-1159.5876,0.1087,2.1606,nan
1240.46,4482.9888,4482988.5,nan,0.2159,9.1935,9.4935,0.5272,145.1526,nan,nan,86.4677,1.2053,1.2004,1.2034,1240.46,0.5272,5.5708,nan,14707.9678,2.1349,1.2034,1.4482,193.5555,nan,-1159.74,0.1238,2.1349,nan
1240.6124,4458.502,4458502.0,nan,0.2159,9.1817,9.4817,0.5192,145.4234,nan,nan,89.6745,1.2178,1.2125,1.2168,1240.6124,0.5192,5.5672,nan,14627.6309,2.1272,1.2168,1.4806,193.6474,nan,-1159.8925,0.1171,2.1272,nan
1240.7648,4494.2178,4494218.0,nan,0.2159,9.1706,9.4706,0.5224,145.0273,nan,nan,89.4759,1.214,1.2069,1.2126,1240.7648,0.5224,5.5066,nan,14744.8096,2.1384,1.2126,1.4704,193.7116,nan,-1160.0448,0.104,2.1384,nan
1240.9172,4704.1357,4704136.0,nan,0.2159,9.1545,9.4545,0.5217,139.7802,nan,nan,87.2699,1.192,1.1833,1.1905,1240.9172,0.5217,5.326,nan,15433.5166,2.1573,1.1905,1.4173,193.7721,nan,-1160.1973,0.098,2.1573,nan
1241.0696,4902.2378,4902237.5,nan,0.2159,9.1061,9.4061,0.5182,135.1948,nan,nan,85.436,1.1664,1.1571,1.1658,1241.0696,0.5182,5.1692,nan,16083.457,2.1744,1.1658,1.3591,193.8004,nan,-1160.3496,0.0927,2.1744,nan
1241.222,4933.959,4933959.0,nan,0.2159,9.0262,9.3262,0.507,135.0484,nan,nan,83.3652,1.1484,1.1394,1.1494,1241.222,0.507,5.2234,nan,16187.5293,2.1861,1.1494,1.3211,193.7468,nan,-1160.5021,0.0815,2.1861,nan
1241.3744,4886.918,4886918.0,nan,0.2159,8.9607,9.2607,0.4953,136.6228,nan,nan,80.9501,1.1303,1.1222,1.1332,1241.3744,0.4953,5.4167,nan,16033.1953,2.1905,1.1332,1.2841,193.6144,nan,-1160.6544,0.0731,2.1905,nan
1241.5268,4701.8794,4701879.5,nan,0.2159,8.9355,9.2355,0.511,141.7661,nan,nan,79.8798,1.1032,1.0959,1.1075,1241.5269,0.511,5.466,nan,15426.1133,2.1869,1.1075,1.2266,193.4685,nan,-1160.8068,0.0792,2.1869,nan
1241.6792,4565.3223,4565322.5,nan,0.2159,8.9221,9.2221,0.5375,145.4925,nan,nan,80.1749,1.0733,1.0664,1.0779,1241.6792,0.5375,5.4694,nan,14978.0918,2.1792,1.0779,1.1619,193.3376,nan,-1160.9592,0.0985,2.1792,nan
1241.8316,4536.0776,4536077.5,nan,0.2159,8.8958,9.1958,0.5441,145.9803,nan,nan,80.5048,1.0508,1.0438,1.0547,1241.8317,0.5441,5.4742,nan,14882.1445,2.1725,1.0547,1.1124,193.2433,nan,-1161.1116,0.1132,2.1725,nan
1241.984,4520.7573,4520757.5,nan,0.2159,8.87,9.17,0.539,146.266,nan,nan,81.2501,1.0398,1.0318,1.0419,1241.984,0.539,5.4045,nan,14831.8809,2.1694,1.0419,1.0856,193.2196,nan,-1161.264,0.117,2.1694,nan
1242.1364,4528.2217,4528221.5,nan,0.2159,8.8614,9.1614,0.5417,146.1326,nan,nan,82.9788,1.0406,1.0314,1.0402,1242.1365,0.5417,5.3752,nan,14856.3701,2.171,1.0402,1.082,193.2504,nan,-1161.4164,0.1187,2.171,nan
1242.2888,4558.1641,4558164.0,nan,0.2159,8.8636,9.1636,0.5473,145.5538,nan,nan,84.1265,1.0521,1.0412,1.0489,1242.2888,0.5473,5.3671,nan,14954.6064,2.1767,1.0489,1.1002,193.233,nan,-1161.5688,0.1197,2.1767,nan
1242.4412,4577.6123,4577612.5,nan,0.2159,8.8598,9.1599,0.5423,145.3882,nan,nan,83.9962,1.0688,1.0562,1.0626,1242.4412,0.5423,5.3286,nan,15018.4131,2.1835,1.0626,1.1291,193.1334,nan,-1161.7212,0.1169,2.1835,nan
1242.5936,4588.6729,4588673.0,nan,0.2159,8.8517,9.1517,0.524,145.3101,nan,nan,83.6522,1.0838,1.0695,1.0747,1242.5936,0.524,5.2423,nan,15054.7012,2.1876,1.0747,1.155,193.0504,nan,-1161.8737,0.1115,2.1876,nan
1242.746,4615.9995,4615999.5,nan,0.2159,8.8454,9.1454,0.5185,144.7536,nan,nan,85.2481,1.0994,1.0836,1.0876,1242.746,0.5185,5.2323,nan,15144.3555,2.1922,1.0876,1.1829,193.0244,nan,-1162.026,0.102,2.1922,nan
1242.8984,4651.3931,4651393.0,nan,0.2159,8.8462,9.1462,0.5383,144.6023,nan,nan,88.3335,1.1234,1.1057,1.1088,1242.8984,0.5383,5.2215,nan,15260.4756,2.2067,1.1088,1.2294,192.9692,nan,-1162.1785,0.0854,2.2067,nan
1243.0508,4774.978,4774978.0,nan,0.2159,8.864,9.164,0.5482,142.5896,nan,nan,88.6656,1.1516,1.132,1.1344,1243.0508,0.5482,5.2283,nan,15665.9385,2.2338,1.1344,1.2869,192.8344,nan,-1162.3308,0.069,2.2338,nan
1243.2032,4987.3325,4987332.5,nan,0.2159,8.9078,9.2078,0.524,138.1012,nan,nan,84.5806,1.1689,1.1479,1.1498,1243.2032,0.524,5.1673,nan,16362.6396,2.2597,1.1498,1.322,192.6608,nan,-1162.4833,0.0542,2.2597,nan
1243.3556,5072.2832,5072283.0,nan,0.2159,8.9718,9.2718,0.506,136.263,nan,nan,80.8802,1.166,1.1447,1.1464,1243.3556,0.506,5.0415,nan,16641.3477,2.2676,1.1464,1.3142,192.5181,nan,-1162.6356,0.0438,2.2676,nan
