DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,NPHI,DT,FACIES,FLD1,GR,M2R2,LLS,LLD,DEPTH_1,NPHI_1,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,RHOB_1,ZLT
1236.0668,4473.9912,4473991.0,nan,10.2041,0.5227,148.6833,nan,nan,60.9432,1.2434,1.2451,1.2431,1236.0669,0.5227,nan,nan,0.2324,0.051,0.051,14678.4492,2.1824,1.2431,1.5453,226.1389,1.0,1.0,1.0,-1162.5768,81.334,0.051,2.1824,nan
1236.2192,4488.293,4488293.0,nan,10.1632,0.5007,149.2479,nan,nan,60.7484,1.2587,1.2601,1.2581,1236.2192,0.5007,nan,nan,0.2328,0.0517,0.0517,14725.3701,2.1977,1.2581,1.5827,226.0811,1.0,1.0,1.0,-1162.7292,79.735,0.0517,2.1977,nan
1236.3716,4478.5024,4478502.5,nan,10.1426,0.5102,150.0934,0.0,nan,60.0808,1.2536,1.2533,1.2506,1236.3716,0.5102,nan,nan,0.2248,0.0416,0.0416,14693.249,2.2054,1.2506,1.564,226.0885,1.0,1.0,1.0,-1162.8816,81.503,0.0416,2.2054,nan
1236.524,4444.5083,4444508.0,nan,10.1682,0.5326,151.5384,0.0,nan,60.2084,1.2295,1.2272,1.2242,1236.524,0.5326,nan,nan,0.2248,0.0415,0.0415,14581.7197,2.2097,1.2242,1.4986,226.1507,1.0,1.0,1.0,-1163.0341,82.294,0.0415,2.2097,nan
1236.6764,4442.1401,4442140.5,nan,10.2663,0.5319,151.8476,0.0,nan,61.288,1.1958,1.1928,1.1898,1236.6764,0.5319,nan,nan,0.222,0.038,0.038,14573.9512,2.213,1.1898,1.4156,226.2217,1.0,1.0,1.0,-1163.1864,82.592,0.038,2.213,nan
1236.8288,4472.4004,4472400.5,nan,10.3843,0.518,151.116,0.0,nan,61.7525,1.1638,1.1615,1.1585,1236.8289,0.518,nan,nan,0.2194,0.0349,0.0349,14673.2305,2.2174,1.1585,1.3422,226.2843,1.0,1.0,1.0,-1163.3389,82.621,0.0349,2.2174,nan
1236.9812,4504.3135,4504313.5,nan,10.4422,0.517,150.0196,0.0,nan,60.2822,1.1446,1.1439,1.1403,1236.9812,0.517,nan,nan,0.219,0.0344,0.0344,14777.9316,2.217,1.1403,1.3002,226.3665,1.0,1.0,1.0,-1163.4912,82.788,0.0344,2.217,nan
1237.1336,4523.3833,4523383.5,nan,10.4265,0.5272,149.2309,0.0,nan,58.6204,1.1333,1.1346,1.1306,1237.1337,0.5272,nan,nan,0.2201,0.0358,0.0358,14840.4971,2.2147,1.1306,1.2783,226.4816,1.0,1.0,1.0,-1163.6437,82.789,0.0358,2.2147,nan
1237.286,4516.1479,4516148.0,nan,10.3596,0.5352,149.7878,0.0,nan,59.0784,1.1199,1.1213,1.1172,1237.286,0.5352,nan,nan,0.2199,0.0355,0.0355,14816.7588,2.2194,1.1172,1.2482,226.6063,1.0,1.0,1.0,-1163.796,82.807,0.0355,2.2194,nan
1237.4384,4506.0234,4506023.5,nan,10.2833,0.5307,151.0748,0.0,nan,60.9638,1.1016,1.1026,1.0979,1237.4385,0.5307,nan,nan,0.2191,0.0344,0.0344,14783.542,2.2334,1.0979,1.2054,226.7075,1.0,1.0,1.0,-1163.9485,82.901,0.0344,2.2334,nan
