DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,NPHI,DT,DT4P,FACIES,FLD1,GR,M2R2,LLS,LLD,DEPTH_1,NPHI_1,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SPDH,SUWI,SUWI_MODELLING,TDVSS,TEMP,VCL,WATER_VOL,RHOB_1,ZLT
1187.6524,5405.0581,5405058.0,nan,10.8947,0.4649,127.7383,127.7383,nan,nan,78.8926,1.5124,1.5289,1.5951,1187.6523,0.4649,5.7671,nan,nan,nan,nan,17733.1309,2.2652,nan,nan,nan,-60.6558,314.2091,nan,nan,-1069.1521,142.1113,nan,nan,2.2652,nan
1187.8048,5390.8745,5390874.5,nan,10.9096,0.4626,127.6051,127.6051,nan,nan,79.8717,1.4644,1.4824,1.5451,1187.8047,0.4626,5.9514,nan,nan,nan,nan,17686.5957,2.2569,nan,nan,nan,-61.1736,314.1682,nan,nan,-1069.2909,142.119,nan,nan,2.2569,nan
1187.9572,5374.8667,5374867.0,nan,10.9161,0.4866,127.35,127.35,nan,nan,77.9798,1.4697,1.4926,1.5561,1187.9572,0.4866,6.068,nan,nan,nan,nan,17634.0781,2.2457,nan,nan,nan,-61.5589,314.118,nan,nan,-1069.4297,142.1267,nan,nan,2.2457,nan
1188.1096,5378.5322,5378532.0,nan,10.9367,0.534,126.7022,126.7022,nan,nan,77.1935,1.4647,1.494,1.5563,1188.1095,0.534,6.1646,nan,nan,nan,nan,17646.1016,2.2358,nan,nan,nan,-61.5911,313.9838,nan,nan,-1069.5685,142.1344,nan,nan,2.2358,nan
1188.262,5342.7593,5342759.5,nan,10.9926,0.5646,126.923,126.923,nan,nan,79.5768,1.4295,1.4642,1.5219,1188.262,0.5646,6.2978,nan,nan,nan,nan,17528.7383,2.2248,nan,nan,nan,-61.3674,313.9207,nan,nan,-1069.7073,142.1422,nan,nan,2.2248,nan
1188.4144,5173.2725,5173272.5,nan,11.0588,0.5368,130.3978,130.3978,nan,nan,80.8805,1.413,1.4532,1.5074,1188.4143,0.5368,6.3872,nan,nan,nan,nan,16972.6777,2.2132,nan,nan,nan,-61.1966,314.081,nan,nan,-1069.8461,142.1499,nan,nan,2.2132,nan
1188.5668,5056.3486,5056348.5,nan,11.0956,0.5092,133.1238,133.1238,nan,nan,79.4857,1.4227,1.4688,1.5215,1188.5668,0.5092,6.2696,nan,nan,nan,nan,16589.0703,2.2084,nan,nan,nan,-61.0608,314.2065,nan,nan,-1069.9849,142.1576,nan,nan,2.2084,nan
1188.7192,5069.5156,5069516.0,nan,11.082,0.5111,133.1087,133.1087,nan,nan,78.3248,1.403,1.4514,1.5003,1188.7191,0.5111,5.9624,nan,nan,nan,nan,16632.2695,2.2139,nan,nan,nan,-60.9259,314.129,nan,nan,-1070.1237,142.1653,nan,nan,2.2139,nan
1188.8716,5080.7573,5080757.0,nan,11.0243,0.5161,133.4741,133.4741,nan,nan,78.4735,1.3571,1.4037,1.4479,1188.8716,0.5161,5.7067,nan,nan,nan,nan,16669.1504,2.2249,nan,nan,nan,-60.9749,314.0154,nan,nan,-1070.2626,142.173,nan,nan,2.2249,nan
1189.024,5082.8091,5082809.0,nan,10.9519,0.5213,134.0139,134.0139,nan,nan,80.4849,1.3333,1.3757,1.4159,1189.0239,0.5213,5.5932,nan,nan,nan,nan,16675.8828,2.2348,nan,nan,nan,-61.2354,313.9571,nan,nan,-1070.4014,142.1807,nan,nan,2.2348,nan
