DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,BIT,CALI,NPHI,DT,DTDS,FACIES,FLD1,GR,M2R1,LLD,NPHI_1,PEF,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,TEMP,TH,U,VCL,WATER_VOL,RHOB_1,ZLT
1235.3544,4990.1069,4990107.0,nan,0.2159,8.8913,0.5138,139.1544,139.1544,nan,nan,76.3081,0.8536,0.8382,0.5138,4.0949,nan,nan,0.8187,nan,nan,16371.7412,2.2782,nan,nan,nan,247.3236,nan,nan,-1154.8544,143.4284,0.0,0.0,nan,nan,2.2782,nan
1235.5068,4941.9985,4941998.5,nan,0.2159,8.8916,0.5194,139.6394,139.6394,nan,nan,76.0956,0.8579,0.8426,0.5194,3.9847,nan,nan,0.82,nan,nan,16213.9053,2.2641,nan,nan,nan,247.2955,nan,nan,-1155.0068,143.4362,0.0,0.0,nan,nan,2.2641,nan
1235.6592,4890.5571,4890557.0,nan,0.2159,8.8907,0.5543,139.3818,139.3818,nan,nan,73.7111,0.8642,0.8488,0.5543,3.9045,nan,nan,0.8104,nan,nan,16045.1348,2.2364,nan,nan,nan,247.2753,nan,nan,-1155.1592,143.4441,0.0,0.0,nan,nan,2.2364,nan
1235.8116,4870.314,4870314.0,nan,0.2159,8.885,0.5876,139.1726,139.1726,nan,nan,72.1276,0.8729,0.8569,0.5876,4.028,nan,nan,0.8051,nan,nan,15978.7207,2.2238,nan,nan,nan,247.2303,nan,nan,-1155.3116,143.4519,0.0,0.0,nan,nan,2.2238,nan
1235.964,4919.457,4919470.5,nan,0.2159,8.8793,0.5902,138.3771,138.3771,nan,nan,72.0179,0.8796,0.8631,0.5902,4.2237,nan,nan,0.7995,nan,nan,16139.9971,2.2334,nan,nan,nan,247.1699,nan,nan,-1155.464,143.4597,0.0,0.0,nan,nan,2.2334,nan
1236.1164,5002.6431,5002621.0,nan,0.2159,8.8798,0.5708,137.252,137.252,nan,nan,72.0208,0.876,0.8593,0.5708,4.2709,nan,nan,0.793,nan,nan,16412.7988,2.2527,nan,nan,nan,247.1369,nan,nan,-1155.6165,143.4675,0.0,0.0,nan,nan,2.2527,nan
1236.2688,5005.0903,5005090.5,nan,0.2159,8.8853,0.5533,137.4346,137.4346,nan,nan,72.0272,0.8599,0.8435,0.5533,4.1369,nan,nan,0.7958,nan,nan,16420.9004,2.2568,nan,nan,nan,247.1884,nan,nan,-1155.7688,143.4754,0.0,0.0,nan,nan,2.2568,nan
1236.4212,4937.1787,4937178.5,nan,0.2159,8.8875,0.5462,138.2138,138.2138,nan,nan,72.7748,0.8405,0.8243,0.5462,4.0307,nan,nan,0.7992,nan,nan,16198.0928,2.2388,nan,nan,nan,247.3028,nan,nan,-1155.9211,143.4832,0.0,0.0,nan,nan,2.2388,nan
1236.5736,4845.0903,4845090.0,nan,0.2159,8.8864,0.5434,139.4945,139.4945,nan,nan,73.449,0.829,0.8121,0.5434,4.0549,nan,nan,0.8067,nan,nan,15895.9648,2.2174,nan,nan,nan,247.3979,nan,nan,-1156.0736,143.491,0.0,0.0,nan,nan,2.2174,nan
1236.726,4780.2104,4780210.5,nan,0.2159,8.8891,0.5357,140.9606,140.9606,nan,nan,73.2136,0.8279,0.8097,0.5357,4.0655,nan,nan,0.8199,nan,nan,15683.1055,2.2107,nan,nan,nan,247.4429,nan,nan,-1156.226,143.4988,0.0,0.0,nan,nan,2.2107,nan
